"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state","Agency_Type","vio_crime","prop_crime","Agency","State.y","city_state.x","Source.Link","Source.Type","Source.Method","Population","pop23","Agency_Type.x","Latitude","Longitude","Comment","X","X.1","X.2","ori","pub_agency_name","state_abbr","city_state.y","region_name","division_name","population","Agency_Type.y","State"
"Arapahoe,CO,County","Arapahoe",0,2,6,11,36,95,30,2017,1,"CO","Arapahoe,CO","County",19,161,"Arapahoe","CO","Arapahoe, CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104204,104204,"County",NA,NA,"","","",NA,"CO0030000","Arapahoe","CO","Arapahoe ,CO","West","Mountain",104204,"County","West"
"Arlington Heights,IL,City","Arlington Heights",0,1,2,3,7,58,2,2017,1,"IL","Arlington Heights,IL","City",6,67,"Arlington Heights","IL","Arlington Heights, IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,74094,"City",NA,NA,"","","",NA,"IL0160200","Arlington Heights","IL","Arlington Heights ,IL","Midwest","East North Central",74094,"City","Midwest"
"Arlington,TX,City","Arlington",3,43,44,79,159,755,106,2017,1,"TX","Arlington,TX","City",169,1020,"Arlington","TX","Arlington, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",391591,394799,"City",NA,NA,"","","",NA,"TX2200100","Arlington","TX","Arlington ,TX","South","West South Central",394799,"City","South"
"Asheville,NC,City","Asheville",2,5,16,24,52,245,24,2017,1,"NC","Asheville,NC","City",47,321,"Asheville","NC","Asheville, NC","From NC","State UCR","Provided by State UCR Program",NA,93471,"City",NA,NA,"","","",NA,"NC0110100","Asheville","NC","Asheville ,NC","South","South Atlantic",93471,"City","South"
"Atlanta,GA,City","Atlanta",6,NA,107,122,254,1046,229,2017,2,"GA","Atlanta,GA","City",235,1529,"Atlanta","GA","Atlanta, GA","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",495707,500212,"City",NA,NA,"","","",NA,"GAAPD0000","Atlanta","GA","Atlanta ,GA","South","South Atlantic",500212,"City","South"
"Aurora,CO,City","Aurora",2,32,43,220,115,696,399,2024,1,"CO","Aurora,CO","City",297,1210,"Aurora","CO","Aurora, CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",392134,396976,"City",NA,NA,"","","",NA,"CO0010100","Aurora","CO","Aurora ,CO","West","Mountain",396976,"City","West"
"Austin,TX,City","Austin",1,52,73,158,356,1906,150,2017,2,"TX","Austin,TX","City",284,2412,"Austin","TX","Austin, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",965234,978816,"City",NA,NA,"","","",NA,"TX2270100","Austin","TX","Austin ,TX","South","West South Central",978816,"City","South"
"Avondale,AZ,City","Avondale",1,4,4,22,17,141,24,2023,12,"AZ","Avondale,AZ","City",31,182,"Avondale","AZ","Avondale, AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",91467,92661,"City",NA,NA,"","","",NA,"AZ0070100","Avondale","AZ","Avondale ,AZ","West","Mountain",92661,"City","West"
"Bakersfield,CA,City","Bakersfield",2,8,79,82,314,734,277,2018,8,"CA","Bakersfield,CA","City",171,1325,"Bakersfield","CA","Bakersfield, CA","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",NA,413409,"City",NA,NA,"","","",NA,"CA0150200","Bakersfield","CA","Bakersfield ,CA","West","Pacific",413409,"City","West"
"Baltimore,MD,City","Baltimore",23,23,303,458,297,951,237,2020,11,"MD","Baltimore,MD","City",807,1485,"Baltimore","MD","Baltimore, MD","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",570546,565192,"City",NA,NA,"","","",NA,"MDBPD0000","Baltimore","MD","Baltimore ,MD","South","South Atlantic",565192,"City","South"
"Baton Rouge,LA,City","Baton Rouge",3,18,39,121,230,684,170,2023,10,"LA","Baton Rouge,LA","City",181,1084,"Baton Rouge","LA","Baton Rouge, LA","https://data.brla.gov/Public-Safety/Baton-Rouge-Police-Crime-Incidents/pbin-pcm7/explore/query/SELECT%0A%20%20%60incident_number%60%2C%0A%20%20%60charge_id%60%2C%0A%20%20%60charge_date%60%2C%0A%20%20%60report_date%60%2C%0A%20%20%60approved_date%60%2C%0A%20%20%60attempted_committed%60%2C%0A%20%20%60street%60%2C%0A%20%20%60street_2%60%2C%0A%20%20%60city%60%2C%0A%20%20%60state%60%2C%0A%20%20%60postal_code%60%2C%0A%20%20%60district%60%2C%0A%20%20%60zone%60%2C%0A%20%20%60sub_zone%60%2C%0A%20%20%60statute_title%60%2C%0A%20%20%60statute_description%60%2C%0A%20%20%60statute_category%60%2C%0A%20%20%60crime_against%60%2C%0A%20%20%60nibrs_code%60%2C%0A%20%20%60offense_description%60%2C%0A%20%20%60census_block_group%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60crime_prevention_district%60%2C%0A%20%20%60neighborhood%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60geolocation%60%2C%0A%20%20%60%3A%40computed_region_jrqt_zu77%60%2C%0A%20%20%60%3A%40computed_region_ntzg_c2w3%60%2C%0A%20%20%60%3A%40computed_region_uvg4_nwq8%60%0AWHERE%0A%20%20caseless_one_of%28%0A%20%20%20%20%60nibrs_code%60%2C%0A%20%20%20%20%2209A%22%2C%0A%20%20%20%20%2211A%22%2C%0A%20%20%20%20%2213A%22%2C%0A%20%20%20%20%22120%22%2C%0A%20%20%20%20%22220%22%2C%0A%20%20%20%20%22240%22%2C%0A%20%20%20%20%2223A%22%2C%0A%20%20%20%20%2223B%22%2C%0A%20%20%20%20%2223C%22%2C%0A%20%20%20%20%2223D%22%2C%0A%20%20%20%20%2223E%22%2C%0A%20%20%20%20%2223F%22%2C%0A%20%20%20%20%2223G%22%2C%0A%20%20%20%20%2223H%22%0A%20%20%29%0A%20%20AND%20%28%60report_date%60%20%3E%20%222024-01-01T00%3A00%3A00%22%20%3A%3A%20floating_timestamp%29%0AORDER%20BY%20%60report_date%60%20DESC%20NULL%20FIRST/page/filter","Agency RMS","Open Source",219913,219086,"City",NA,NA,"","","",NA,"LA0170200","Baton Rouge","LA","Baton Rouge ,LA","South","West South Central",219086,"City","South"
"Baytown,TX,City","Baytown",0,3,18,10,44,160,29,2017,1,"TX","Baytown,TX","City",31,233,"Baytown","TX","Baytown, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",81477,83809,"City",NA,NA,"","","",NA,"TX1010100","Baytown","TX","Baytown ,TX","South","West South Central",83809,"City","South"
"Beaumont,TX,City","Beaumont",0,6,22,63,93,287,20,2017,2,"TX","Beaumont,TX","City",91,400,"Beaumont","TX","Beaumont, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110898,110671,"City",NA,NA,"","","",NA,"TX1230100","Beaumont","TX","Beaumont ,TX","South","West South Central",110671,"City","South"
"Bellevue,NE,City","Bellevue",0,3,0,1,9,41,11,2017,1,"NE","Bellevue,NE","City",4,61,"Bellevue","NE","Bellevue, NE","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",63178,62372,"City",NA,NA,"","","",NA,"NB0770100","Bellevue","NE","Bellevue ,NE","Midwest","West North Central",62372,"City","Midwest"
"Bellingham,WA,City","Bellingham",1,NA,8,NA,NA,169,5,2024,4,"WA","Bellingham,WA","City",9,174,"Bellingham","WA","Bellingham, WA","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",93014,94968,"City",NA,NA,"","","",NA,"WA0370100","Bellingham","WA","Bellingham ,WA","West","Pacific",94968,"City","West"
"Bethlehem,PA,City","Bethlehem",0,2,4,44,13,94,3,2017,2,"PA","Bethlehem,PA","City",50,110,"Bethlehem","PA","Bethlehem, PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",75619,78606,"City",NA,NA,"Inferred Dec 2019 from annual average","","",NA,"PA0480300","Bethlehem","PA","Bethlehem ,PA","Northeast","Middle Atlantic",78606,"City","Northeast"
"Bismarck,ND,City","Bismarck",0,4,2,27,34,119,26,2017,1,"ND","Bismarck,ND","City",33,179,"Bismarck","ND","Bismarck, ND","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,74802,"City",NA,NA,"","","",NA,"ND0080100","Bismarck","ND","Bismarck ,ND","Midwest","West North Central",74802,"City","Midwest"
"Blaine,MN,City","Blaine",0,1,1,5,13,124,3,2017,1,"MN","Blaine,MN","City",7,140,"Blaine","MN","Blaine, MN","https://cde.state.mn.us/","State UCR","Open Source",71368,72384,"City",NA,NA,"","","",NA,"MN0020200","Blaine","MN","Blaine ,MN","Midwest","West North Central",72384,"City","Midwest"
"Bloomington,MN,City","Bloomington",0,1,2,4,19,147,9,2017,2,"MN","Bloomington,MN","City",7,175,"Bloomington","MN","Bloomington, MN","https://cde.state.mn.us/","State UCR","Open Source",88745,86793,"City",NA,NA,"","","",NA,"MN0270100","Bloomington","MN","Bloomington ,MN","Midwest","West North Central",86793,"City","Midwest"
"Blue Springs,MO,City","Blue Springs",0,1,0,8,13,109,7,2017,1,"MO","Blue Springs,MO","City",9,129,"Blue Springs","MO","Blue Springs, MO","https://showmecrime.mo.gov/","State UCR","Open Source",60093,59896,"City",NA,NA,"","","",NA,"MO0480100","Blue Springs","MO","Blue Springs ,MO","Midwest","West North Central",59896,"City","Midwest"
"Boise,ID,City","Boise",0,36,4,42,47,306,37,2020,8,"ID","Boise,ID","City",82,390,"Boise","ID","Boise, ID","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",239074,236949,"City",NA,NA,"","","",NA,"ID0010100","Boise","ID","Boise ,ID","West","Mountain",236949,"City","West"
"Bolingbrook,IL,City","Bolingbrook",0,1,0,9,1,42,3,2018,9,"IL","Bolingbrook,IL","City",10,46,"Bolingbrook","IL","Bolingbrook, IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",73364,74138,"City",NA,NA,"","","",NA,"IL0990200","Bolingbrook","IL","Bolingbrook ,IL","Midwest","East North Central",74138,"City","Midwest"
"Boulder,CO,City","Boulder",0,5,2,24,24,169,11,2024,12,"CO","Boulder,CO","City",31,204,"Boulder","CO","Boulder, CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",103099,104232,"City",NA,NA,"","","",NA,"CO0070100","Boulder","CO","Boulder ,CO","West","Mountain",104232,"City","West"
"Brazoria,TX,County","Brazoria",0,4,5,7,34,53,13,2017,1,"TX","Brazoria,TX","County",16,100,"Brazoria","TX","Brazoria, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",132229,132229,"County",NA,NA,"","","",NA,"TX0200000","Brazoria","TX","Brazoria ,TX","South","West South Central",132229,"County","South"
"Bridgeport,CT,City","Bridgeport",4,9,47,74,31,207,79,2017,7,"CT","Bridgeport,CT","City",134,317,"Bridgeport","CT","Bridgeport, CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148395,148483,"City",NA,NA,"","","",NA,"CT0001500","Bridgeport","CT","Bridgeport ,CT","Northeast","New England",148483,"City","Northeast"
"Bristol,CT,City","Bristol",0,0,0,3,9,38,17,2020,11,"CT","Bristol,CT","City",3,64,"Bristol","CT","Bristol, CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",60657,61609,"City",NA,NA,"","","",NA,"CT0001700","Bristol","CT","Bristol ,CT","Northeast","New England",61609,"City","Northeast"
"Brooklyn Park,MN,City","Brooklyn Park",0,4,8,14,15,111,16,2017,2,"MN","Brooklyn Park,MN","City",26,142,"Brooklyn Park","MN","Brooklyn Park, MN","https://cde.state.mn.us/","State UCR","Open Source",82682,81920,"City",NA,NA,"","","",NA,"MN0270300","Brooklyn Park","MN","Brooklyn Park ,MN","Midwest","West North Central",81920,"City","Midwest"
"Broomfield,CO,City","Broomfield",0,2,1,3,8,102,10,2017,1,"CO","Broomfield,CO","City",6,120,"Broomfield","CO","Broomfield, CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",76137,77072,"City",NA,NA,"","","",NA,"CO0640100","Broomfield","CO","Broomfield ,CO","West","Mountain",77072,"City","West"
"Brownsville,TX,City","Brownsville",1,4,9,12,58,424,18,2017,1,"TX","Brownsville,TX","City",26,500,"Brownsville","TX","Brownsville, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",188906,190590,"City",NA,NA,"","","",NA,"TX0310100","Brownsville","TX","Brownsville ,TX","South","West South Central",190590,"City","South"
"Buckeye,AZ,City","Buckeye",1,5,1,4,19,80,6,2017,1,"AZ","Buckeye,AZ","City",11,105,"Buckeye","AZ","Buckeye, AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",110002,112048,"City",NA,NA,"","","",NA,"AZ0070300","Buckeye","AZ","Buckeye ,AZ","West","Mountain",112048,"City","West"
"Buffalo,NY,City","Buffalo",4,13,55,88,156,475,50,2017,3,"NY","Buffalo,NY","City",160,681,"Buffalo","NY","Buffalo, NY","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data","Agency Aggregated","Open Source",275710,275922,"City",NA,NA,"","","",NA,"NY0140100","Buffalo","NY","Buffalo ,NY","Northeast","Middle Atlantic",275922,"City","Northeast"
"Buncombe,NC,County","Buncombe",0,1,4,10,51,99,11,2017,1,"NC","Buncombe,NC","County",15,161,"Buncombe","NC","Buncombe, NC","From NC","State UCR","Provided by State UCR Program",NA,158547,"County",NA,NA,"","","",NA,"NC0110000","Buncombe","NC","Buncombe ,NC","South","South Atlantic",158547,"County","South"
"Burbank,CA,City","Burbank",0,2,6,10,31,165,20,2017,7,"CA","Burbank,CA","City",18,216,"Burbank","CA","Burbank, CA","https://www.burbankpd.org/crime-information/crime-statistics/","Agency Aggregated","Open Source",103516,102345,"City",NA,NA,"","","",NA,"CA0191200","Burbank","CA","Burbank ,CA","West","Pacific",102345,"City","West"
"Burleson,TX,City","Burleson",0,0,2,5,12,50,1,2017,2,"TX","Burleson,TX","City",7,63,"Burleson","TX","Burleson, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55356,56307,"City",NA,NA,"","","",NA,"TX1260200","Burleson","TX","Burleson ,TX","South","West South Central",56307,"City","South"
"Burlington,NC,City","Burlington",1,3,8,19,22,100,4,2017,2,"NC","Burlington,NC","City",31,126,"Burlington","NC","Burlington, NC","From NC","State UCR","Provided by State UCR Program",NA,60156,"City",NA,NA,"","","",NA,"NC0010100","Burlington","NC","Burlington ,NC","South","South Atlantic",60156,"City","South"
"Burnsville,MN,City","Burnsville",0,0,4,2,9,105,5,2017,1,"MN","Burnsville,MN","City",6,119,"Burnsville","MN","Burnsville, MN","https://cde.state.mn.us/","State UCR","Open Source",63361,63650,"City",NA,NA,"","","",NA,"MN0190100","Burnsville","MN","Burnsville ,MN","Midwest","West North Central",63650,"City","Midwest"
"Carlsbad,CA,City","Carlsbad",0,4,5,15,10,92,8,2025,2,"CA","Carlsbad,CA","City",24,110,"Carlsbad","CA","Carlsbad, CA","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",115531,113796,"City",NA,NA,"","","",NA,"CA0370100","Carlsbad","CA","Carlsbad ,CA","West","Pacific",113796,"City","West"
"Carrollton,TX,City","Carrollton",0,4,4,4,32,114,19,2017,2,"TX","Carrollton,TX","City",12,165,"Carrollton","TX","Carrollton, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",133610,134261,"City",NA,NA,"Inferred Aug-Dec 2019 from annual average","","",NA,"TX0570400","Carrollton","TX","Carrollton ,TX","South","West South Central",134261,"City","South"
"Cary,NC,City","Cary",0,3,10,8,26,122,4,2017,1,"NC","Cary,NC","City",21,152,"Cary","NC","Cary, NC","From NC","State UCR","Provided by State UCR Program",NA,182878,"City",NA,NA,"","","",NA,"NC0920300","Cary","NC","Cary ,NC","South","South Atlantic",182878,"City","South"
"Castle Rock,CO,City","Castle Rock",0,3,0,3,11,62,3,2018,4,"CO","Castle Rock,CO","City",6,76,"Castle Rock","CO","Castle Rock, CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",79102,83546,"City",NA,NA,"","","",NA,"CO0180100","Castle Rock","CO","Castle Rock ,CO","West","Mountain",83546,"City","West"
"Cedar Park,TX,City","Cedar Park",0,4,1,3,9,60,1,2017,1,"TX","Cedar Park,TX","City",8,70,"Cedar Park","TX","Cedar Park, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79353,77464,"City",NA,NA,"","","",NA,"TX2460900","Cedar Park","TX","Cedar Park ,TX","South","West South Central",77464,"City","South"
"Centennial,CO,City","Centennial",0,0,4,5,13,140,37,2020,9,"CO","Centennial,CO","City",9,190,"Centennial","CO","Centennial, CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",105849,104724,"City",NA,NA,"","","",NA,"CO0031100","Centennial","CO","Centennial ,CO","West","Mountain",104724,"City","West"
"Champaign,IL,City","Champaign",0,4,6,57,17,54,6,2020,6,"IL","Champaign,IL","City",67,77,"Champaign","IL","Champaign, IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",89815,89687,"City",NA,NA,"","","",NA,"IL0100100","Champaign","IL","Champaign ,IL","Midwest","East North Central",89687,"City","Midwest"
"Chandler,AZ,City","Chandler",0,10,8,23,57,430,41,2017,6,"AZ","Chandler,AZ","City",41,528,"Chandler","AZ","Chandler, AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",281373,282419,"City",NA,NA,"","","",NA,"AZ0070500","Chandler","AZ","Chandler ,AZ","West","Mountain",282419,"City","West"
"Chapel Hill,NC,City","Chapel Hill",1,2,2,1,20,65,4,2017,2,"NC","Chapel Hill,NC","City",6,89,"Chapel Hill","NC","Chapel Hill, NC","From NC","State UCR","Provided by State UCR Program",NA,65066,"City",NA,NA,"","","",NA,"NC0680100","Chapel Hill","NC","Chapel Hill ,NC","South","South Atlantic",65066,"City","South"
"Charlotte,NC,City","Charlotte",9,25,198,353,583,2153,253,2017,1,"NC","Charlotte,NC","City",585,2989,"Charlotte","NC","Charlotte, NC","From NC","State UCR","Provided by State UCR Program",NA,979304,"City",NA,NA,"","","",NA,"NC0600100","Charlotte","NC","Charlotte ,NC","South","South Atlantic",979304,"City","South"
"Chattanooga,TN,City","Chattanooga",2,23,23,165,95,826,190,2020,7,"TN","Chattanooga,TN","City",213,1111,"Chattanooga","TN","Chattanooga, TN","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",182603,185370,"City",NA,NA,"","","",NA,"TN0330100","Chattanooga","TN","Chattanooga ,TN","South","East South Central",185370,"City","South"
"Cheyenne,WY,City","Cheyenne",0,4,2,4,19,135,11,2017,1,"WY","Cheyenne,WY","City",10,165,"Cheyenne","WY","Cheyenne, WY","https://crimestats.wyo.gov/public/View/dispview.aspx","State UCR","Open Source",64610,64307,"City",NA,NA,"","","",NA,"WY0110100","Cheyenne","WY","Cheyenne ,WY","West","Mountain",64307,"City","West"
"Chicago,IL,City","Chicago",82,144,655,1556,601,3890,910,2021,8,"IL","Chicago,IL","City",2437,5401,"Chicago","IL","Chicago, IL","https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/explore/query/SELECT%0A%20%20%60id%60%2C%0A%20%20%60case_number%60%2C%0A%20%20%60date%60%2C%0A%20%20%60block%60%2C%0A%20%20%60iucr%60%2C%0A%20%20%60primary_type%60%2C%0A%20%20%60description%60%2C%0A%20%20%60location_description%60%2C%0A%20%20%60arrest%60%2C%0A%20%20%60domestic%60%2C%0A%20%20%60beat%60%2C%0A%20%20%60district%60%2C%0A%20%20%60ward%60%2C%0A%20%20%60community_area%60%2C%0A%20%20%60fbi_code%60%2C%0A%20%20%60x_coordinate%60%2C%0A%20%20%60y_coordinate%60%2C%0A%20%20%60year%60%2C%0A%20%20%60updated_on%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60location%60%2C%0A%20%20%60%3A%40computed_region_awaf_s7ux%60%2C%0A%20%20%60%3A%40computed_region_6mkv_f3dw%60%2C%0A%20%20%60%3A%40computed_region_vrxf_vc4k%60%2C%0A%20%20%60%3A%40computed_region_bdys_3d7i%60%2C%0A%20%20%60%3A%40computed_region_43wa_7qmu%60%2C%0A%20%20%60%3A%40computed_region_rpca_8um6%60%2C%0A%20%20%60%3A%40computed_region_d9mm_jgwp%60%2C%0A%20%20%60%3A%40computed_region_d3ds_rm58%60%2C%0A%20%20%60%3A%40computed_region_8hcu_yrd4%60%0AORDER%20BY%20%60date%60%20DESC%20NULL%20FIRST/page/filter","Agency RMS","Open Source",2652124,2628298,"City",NA,NA,"","","",NA,"ILCPD0000","Chicago","IL","Chicago ,IL","Midwest","East North Central",2628298,"City","Midwest"
"Chula Vista,CA,City","Chula Vista",0,5,19,65,28,154,90,2024,3,"CA","Chula Vista,CA","City",89,272,"Chula Vista","CA","Chula Vista, CA","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",277976,280748,"City",NA,NA,"","","",NA,"CA0370200","Chula Vista","CA","Chula Vista ,CA","West","Pacific",280748,"City","West"
"Cicero,IL,City","Cicero",0,2,9,9,26,44,19,2021,11,"IL","Cicero,IL","City",20,89,"Cicero","IL","Cicero, IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",81492,80455,"City",NA,NA,"","","",NA,"IL0162100","Cicero","IL","Cicero ,IL","Midwest","East North Central",80455,"City","Midwest"
"Coeur D Alene,ID,City","Coeur D Alene",0,1,1,6,6,49,4,2021,9,"ID","Coeur D Alene,ID","City",8,59,"Coeur D Alene","ID","Coeur D Alene, ID","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",57061,57653,"City",NA,NA,"","","",NA,"ID0280100","Coeur D Alene","ID","Coeur D Alene ,ID","West","Mountain",57653,"City","West"
"College Station,TX,City","College Station",0,4,11,8,50,144,8,2017,1,"TX","College Station,TX","City",23,202,"College Station","TX","College Station, TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",121618,126136,"City",NA,NA,"","","",NA,"TX0210200","College Station","TX","College Station ,TX","South","West South Central",126136,"City","South"
"Colorado Springs,CO,City","Colorado Springs",4,46,36,184,283,1057,269,2021,10,"CO","Colorado Springs,CO","City",270,1609,"Colorado Springs","CO","Colorado Springs, CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",487728,489254,"City",NA,NA,"","","",NA,"CO0210100","Colorado Springs","CO","Colorado Springs ,CO","West","Mountain",489254,"City","West"
"Columbia,MO,City","Columbia",0,11,8,42,38,172,18,2017,2,"MO","Columbia,MO","City",61,228,"Columbia","MO","Columbia, MO","https://showmecrime.mo.gov/","State UCR","Open Source",127862,129602,"City",NA,NA,"","","",NA,"MO0100200","Columbia","MO","Columbia ,MO","Midwest","West North Central",129602,"City","Midwest"
