"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State"
"Apple Valley,MN,City","Apple Valley",0,6,4,2,5,63,3,2017,1,"MN","Apple Valley,MN","City",12,71,"Apple Valley","MN","https://cde.state.mn.us/","State UCR","Open Source",54995,NA,NA,"","","MN0191000","Apple Valley","MN","Midwest","West North Central","apple valley","MN",55028,"city 50,000 thru 99,999",NA,NA,NA,NA,55028,"Apple Valley, MN","City","Midwest"
"Arapahoe,CO,County","Arapahoe",0,2,6,11,36,95,30,2017,1,"CO","Arapahoe,CO","County",19,161,"Arapahoe","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104204,NA,NA,"","","CO0030000","Arapahoe","CO","West","Mountain","arapahoe","CO",108211,"msa-county 100,000+",NA,NA,NA,NA,108211,"Arapahoe, CO","County","West"
"Arcadia,CA,City","Arcadia",0,0,0,5,22,88,6,2024,2,"CA","Arcadia,CA","City",5,116,"Arcadia","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",54071,NA,NA,"","","CA0190200","Arcadia","CA","West","Pacific","arcadia","CA",53397,"city 50,000 thru 99,999",NA,NA,NA,NA,53397,"Arcadia, CA","City","West"
"Arlington Heights,IL,City","Arlington Heights",0,1,2,3,7,58,2,2017,1,"IL","Arlington Heights,IL","City",6,67,"Arlington Heights","IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,NA,NA,"","","IL0160200","Arlington Heights","IL","Midwest","East North Central","arlington heights","IL",73545,"city 50,000 thru 99,999",NA,NA,NA,NA,73545,"Arlington Heights, IL","City","Midwest"
"Arlington,TX,City","Arlington",3,43,44,79,159,755,106,2017,1,"TX","Arlington,TX","City",169,1020,"Arlington","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",394799,NA,NA,"","","TX2200100","Arlington","TX","South","West South Central","arlington","TX",399840,"city 250,000 thru 499,999",NA,NA,NA,NA,399840,"Arlington, TX","City","South"
"Arlington,VA,County","Arlington",1,5,3,15,17,196,12,2017,1,"VA","Arlington,VA","County",24,225,"Arlington","VA","From VA","State UCR","Provided by State UCR Program",231844,NA,NA,"","","VA0070100","Arlington","VA","South","South Atlantic","arlington county pd","VA",234449,"msa-county 100,000+",NA,NA,NA,NA,234449,"Arlington, VA","County","South"
"Arvada,CO,City","Arvada",0,8,7,10,19,225,29,2017,1,"CO","Arvada,CO","City",25,273,"Arvada","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",120200,NA,NA,"","","CO0300100","Arvada","CO","West","Mountain","arvada","CO",117704,"city 100,000 thru 249,999",NA,NA,NA,NA,117704,"Arvada, CO","City","West"
"Asheville,NC,City","Asheville",2,5,16,24,52,245,24,2017,1,"NC","Asheville,NC","City",47,321,"Asheville","NC","From NC","State UCR","Provided by State UCR Program",93471,NA,NA,"","","NC0110100","Asheville","NC","South","South Atlantic","asheville","NC",95219,"city 50,000 thru 99,999",NA,NA,NA,NA,95219,"Asheville, NC","City","South"
"Atlanta,GA,City","Atlanta",12,NA,69,176,131,1122,259,2025,6,"GA","Atlanta,GA","City",257,1512,"Atlanta","GA","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",500212,NA,NA,"","","GAAPD0000","Atlanta","GA","South","South Atlantic","atlanta","GA",475865,"city 500,000 thru 999,999",NA,NA,NA,NA,475865,"Atlanta, GA","City","South"
"Aurora,CO,City","Aurora",0,1,3,17,26,181,28,2017,1,"CO","Aurora,CO","City",21,235,"Aurora","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",396976,NA,NA,"","","CO0010100","Aurora","CO","West","Mountain","aurora","CO",337365,"city 250,000 thru 499,999",NA,NA,NA,NA,337365,"Aurora, CO","City","West"
"Austin,TX,City","Austin",1,65,74,181,433,2170,177,2017,1,"TX","Austin,TX","City",321,2780,"Austin","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",978816,NA,NA,"","","TX2270100","Austin","TX","South","West South Central","austin","TX",913699,"city 500,000 thru 999,999",NA,NA,NA,NA,913699,"Austin, TX","City","South"
"Avondale,AZ,City","Avondale",1,1,9,9,47,253,18,2017,3,"AZ","Avondale,AZ","City",20,318,"Avondale","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",92661,NA,NA,"","","AZ0070100","Avondale","AZ","West","Mountain","avondale","AZ",94911,"city 50,000 thru 99,999",NA,NA,NA,NA,94911,"Avondale, AZ","City","West"
"Baldwin Park,CA,City","Baldwin Park",2,3,1,27,4,48,9,2025,5,"CA","Baldwin Park,CA","City",33,61,"Baldwin Park","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",68230,NA,NA,"","","CA0190600","Baldwin Park","CA","West","Pacific","baldwin park","CA",67791,"city 50,000 thru 99,999",NA,NA,NA,NA,67791,"Baldwin Park, CA","City","West"
"Baltimore,MD,City","Baltimore",22,26,452,462,538,1196,334,2017,2,"MD","Baltimore,MD","City",962,2068,"Baltimore","MD","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",565192,NA,NA,"","","MDBPD0000","Baltimore","MD","South","South Atlantic","baltimore","MD",566632,"city 500,000 thru 999,999",NA,NA,NA,NA,566632,"Baltimore, MD","City","South"
"Baltimore,MD,County","Baltimore",2,24,174,214,363,1473,189,2017,1,"MD","Baltimore,MD","County",414,2025,"Baltimore","MD","https://opendata.baltimorecountymd.gov/pages/dash","Agency Aggregated","Open Source",845222,NA,NA,"","","MD0030100","Baltimore","MD","South","South Atlantic","baltimore county pol dep","MD",852726,"msa-county 100,000+",NA,NA,NA,NA,852726,"Baltimore, MD","County","South"
"Bartlett,TN,City","Bartlett",0,1,0,13,5,31,4,2021,8,"TN","Bartlett,TN","City",14,40,"Bartlett","TN","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",56324,NA,NA,"","","TN0790600","Bartlett","TN","South","East South Central","bartlett","TN",55494,"city 50,000 thru 99,999",NA,NA,NA,NA,55494,"Bartlett, TN","City","South"
"Battle Creek,MI,City","Battle Creek",0,3,2,24,35,155,6,2017,3,"MI","Battle Creek,MI","City",29,196,"Battle Creek","MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",60969,NA,NA,"","","MI1323700","Battle Creek","MI","Midwest","East North Central","battle creek","MI",61163,"city 50,000 thru 99,999",NA,NA,NA,NA,61163,"Battle Creek, MI","City","Midwest"
"Baytown,TX,City","Baytown",0,3,18,10,44,160,29,2017,1,"TX","Baytown,TX","City",31,233,"Baytown","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83809,NA,NA,"","","TX1010100","Baytown","TX","South","West South Central","baytown","TX",78692,"city 50,000 thru 99,999",NA,NA,NA,NA,78692,"Baytown, TX","City","South"
"Beaumont,CA,City","Beaumont",0,2,0,7,10,55,11,2017,1,"CA","Beaumont,CA","City",9,76,"Beaumont","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",57819,NA,NA,"","","CA0330200","Beaumont","CA","West","Pacific","beaumont","CA",60294,"city 50,000 thru 99,999",NA,NA,NA,NA,60294,"Beaumont, CA","City","West"
"Beaumont,TX,City","Beaumont",2,11,38,58,132,293,24,2017,1,"TX","Beaumont,TX","City",109,449,"Beaumont","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110671,NA,NA,"","","TX1230100","Beaumont","TX","South","West South Central","beaumont","TX",111320,"city 100,000 thru 249,999",NA,NA,NA,NA,111320,"Beaumont, TX","City","South"
"Beaverton,OR,City","Beaverton",0,3,5,6,20,109,18,2017,1,"OR","Beaverton,OR","City",14,147,"Beaverton","OR","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",96840,NA,NA,"","","OR0340100","Beaverton","OR","West","Pacific","beaverton","OR",96762,"city 50,000 thru 99,999",NA,NA,NA,NA,96762,"Beaverton, OR","City","West"
"Bellevue,NE,City","Bellevue",0,3,0,1,9,41,11,2017,1,"NE","Bellevue,NE","City",4,61,"Bellevue","NE","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",62372,NA,NA,"","","NB0770100","Bellevue","NE","Midwest","West North Central","bellevue","NE",63510,"city 50,000 thru 99,999",NA,NA,NA,NA,63510,"Bellevue, NE","City","Midwest"
"Bellingham,WA,City","Bellingham",0,NA,2,NA,NA,233,14,2018,6,"WA","Bellingham,WA","City",2,247,"Bellingham","WA","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",94968,NA,NA,"","","WA0370100","Bellingham","WA","West","Pacific","bellingham","WA",95717,"city 50,000 thru 99,999",NA,NA,NA,NA,95717,"Bellingham, WA","City","West"
"Bend,OR,City","Bend",0,4,3,6,28,158,12,2017,1,"OR","Bend,OR","City",13,198,"Bend","OR","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",105099,NA,NA,"","","OR0090100","Bend","OR","West","Pacific","bend","OR",106241,"city 100,000 thru 249,999",NA,NA,NA,NA,106241,"Bend, OR","City","West"
"Bentonville,AR,City","Bentonville",0,2,2,16,3,36,2,2024,12,"AR","Bentonville,AR","City",20,41,"Bentonville","AR","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",59465,NA,NA,"","","AR0040100","Bentonville","AR","South","West South Central","bentonville","AR",61109,"city 50,000 thru 99,999",NA,NA,NA,101,61109,"Bentonville, AR","City","South"
"Berkeley,CA,City","Berkeley",0,7,24,19,74,288,40,2018,4,"CA","Berkeley,CA","City",50,402,"Berkeley","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",116595,NA,NA,"","","CA0010300","Berkeley","CA","West","Pacific","berkeley","CA",117400,"city 100,000 thru 249,999",NA,NA,NA,NA,117400,"Berkeley, CA","City","West"
"Berkeley,SC,County","Berkeley",0,13,9,27,48,166,42,2017,1,"SC","Berkeley,SC","County",49,256,"Berkeley","SC","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",142756,NA,NA,"","","SC0080000","Berkeley","SC","South","South Atlantic","berkeley","SC",150616,"msa-county 100,000+",NA,NA,NA,NA,150616,"Berkeley, SC","County","South"
"Birmingham,AL,City","Birmingham",9,NA,NA,NA,NA,NA,NA,2024,2,"AL","Birmingham,AL","City",9,0,"Birmingham","AL","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",195224,NA,NA,"","","AL0010200","Birmingham","AL","South","East South Central","birmingham","AL",193470,"city 100,000 thru 249,999",NA,NA,NA,102,193470,"Birmingham, AL","City","South"
"Bismarck,ND,City","Bismarck",0,4,2,27,34,119,26,2017,1,"ND","Bismarck,ND","City",33,179,"Bismarck","ND","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","","ND0080100","Bismarck","ND","Midwest","West North Central","bismarck","ND",75546,"city 50,000 thru 99,999",NA,NA,NA,NA,75546,"Bismarck, ND","City","Midwest"
"Blaine,MN,City","Blaine",0,1,1,5,13,124,3,2017,1,"MN","Blaine,MN","City",7,140,"Blaine","MN","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","","MN0020200","Blaine","MN","Midwest","West North Central","blaine","MN",74913,"city 50,000 thru 99,999",NA,NA,NA,NA,74913,"Blaine, MN","City","Midwest"
"Bloomfield,NJ,City","Bloomfield",0,0,2,2,7,75,9,2017,10,"NJ","Bloomfield,NJ","City",4,91,"Bloomfield","NJ","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",53181,NA,NA,"Inferred Jan - Mar 2021 from annual total","","NJ0070200","Bloomfield","NJ","Northeast","Middle Atlantic","bloomfield","NJ",55161,"city 50,000 thru 99,999",NA,NA,NA,NA,55161,"Bloomfield, NJ","City","Northeast"
"Bloomington,MN,City","Bloomington",0,5,5,6,16,211,15,2017,1,"MN","Bloomington,MN","City",16,242,"Bloomington","MN","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","","MN0270100","Bloomington","MN","Midwest","West North Central","bloomington","MN",86598,"city 50,000 thru 99,999",NA,NA,NA,NA,86598,"Bloomington, MN","City","Midwest"
"Blue Springs,MO,City","Blue Springs",0,1,0,8,13,109,7,2017,1,"MO","Blue Springs,MO","City",9,129,"Blue Springs","MO","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","","MO0480100","Blue Springs","MO","Midwest","West North Central","blue springs","MO",61096,"city 50,000 thru 99,999",NA,NA,NA,NA,61096,"Blue Springs, MO","City","Midwest"
"Bolingbrook,IL,City","Bolingbrook",0,0,2,11,7,56,10,2017,1,"IL","Bolingbrook,IL","City",13,73,"Bolingbrook","IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","","IL0990200","Bolingbrook","IL","Midwest","East North Central","bolingbrook","IL",72708,"city 50,000 thru 99,999",NA,NA,NA,NA,72708,"Bolingbrook, IL","City","Midwest"
"Boone,KY,County","Boone",0,4,2,2,11,54,8,2017,1,"KY","Boone,KY","County",8,73,"Boone","KY","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",107867,NA,NA,"","","KY0080000","Boone","KY","South","East South Central","boone","KY",110398,"msa-county 100,000+",NA,NA,NA,NA,110398,"Boone, KY","County","South"
"Bossier City,LA,City","Bossier City",2,4,5,42,43,210,23,2020,7,"LA","Bossier City,LA","City",53,276,"Bossier City","LA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",62602,NA,NA,"","","LA0080100","Bossier City","LA","South","West South Central","bossier city","LA",62750,"city 50,000 thru 99,999",NA,NA,NA,NA,62750,"Bossier City, LA","City","South"
"Boston,MA,City","Boston",5,34,152,219,169,940,131,2017,1,"MA","Boston,MA","City",410,1240,"Boston","MA","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",642823,NA,NA,"","","MA0130100","Boston","MA","Northeast","New England","boston","MA",659049,"city 500,000 thru 999,999",NA,NA,NA,NA,659049,"Boston, MA","City","Northeast"
"Boulder,CO,City","Boulder",0,3,5,17,34,197,29,2017,1,"CO","Boulder,CO","City",25,260,"Boulder","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104232,NA,NA,"","","CO0070100","Boulder","CO","West","Mountain","boulder","CO",105195,"city 100,000 thru 249,999",NA,NA,NA,NA,105195,"Boulder, CO","City","West"
"Bowie,MD,City","Bowie",0,0,0,8,3,38,2,2021,3,"MD","Bowie,MD","City",8,43,"Bowie","MD","https://www.mwcog.org/public-safety-and-homeland-security/data-and-tools/crime-dashboard/","Agency Aggregated","Open Source",56678,NA,NA,"","","MD0174100","Bowie","MD","South","South Atlantic","bowie","MD",56929,"city 50,000 thru 99,999",NA,NA,NA,NA,56929,"Bowie, MD","City","South"
"Bowling Green,KY,City","Bowling Green",2,4,10,3,36,165,19,2017,2,"KY","Bowling Green,KY","City",19,220,"Bowling Green","KY","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",76194,NA,NA,"","","KY1140100","Bowling Green","KY","South","East South Central","bowling green","KY",77503,"city 50,000 thru 99,999",NA,NA,NA,NA,77503,"Bowling Green, KY","City","South"
"Brazoria,TX,County","Brazoria",0,4,5,7,34,53,13,2017,1,"TX","Brazoria,TX","County",16,100,"Brazoria","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",132229,NA,NA,"","","TX0200000","Brazoria","TX","South","West South Central","brazoria","TX",141817,"msa-county 100,000+",NA,NA,NA,NA,141817,"Brazoria, TX","County","South"
"Brentwood,CA,City","Brentwood",0,3,5,10,32,99,9,2017,1,"CA","Brentwood,CA","City",18,140,"Brentwood","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",66976,NA,NA,"","","CA0070200","Brentwood","CA","West","Pacific","brentwood","CA",65352,"city 50,000 thru 99,999",NA,NA,NA,NA,65352,"Brentwood, CA","City","West"
"Bridgeport,CT,City","Bridgeport",2,9,51,46,59,162,70,2017,1,"CT","Bridgeport,CT","City",108,291,"Bridgeport","CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148483,NA,NA,"","","CT0001500","Bridgeport","CT","Northeast","New England","bridgeport","CT",148132,"city 100,000 thru 249,999",NA,NA,NA,NA,148132,"Bridgeport, CT","City","Northeast"
"Bristol,CT,City","Bristol",1,0,1,2,14,38,6,2017,1,"CT","Bristol,CT","City",4,58,"Bristol","CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",61609,NA,NA,"","","CT0001700","Bristol","CT","Northeast","New England","bristol","CT",61895,"city 50,000 thru 99,999",NA,NA,NA,NA,61895,"Bristol, CT","City","Northeast"
"Brockton,MA,City","Brockton",2,10,12,53,37,132,20,2017,1,"MA","Brockton,MA","City",77,189,"Brockton","MA","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",108938,NA,NA,"","","MA0120300","Brockton","MA","Northeast","New England","brockton","MA",106650,"city 100,000 thru 249,999",NA,NA,NA,NA,106650,"Brockton, MA","City","Northeast"
"Broken Arrow,OK,City","Broken Arrow",0,5,0,7,29,143,25,2017,10,"OK","Broken Arrow,OK","City",12,197,"Broken Arrow","OK","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",119959,NA,NA,"","","OK0720100","Broken Arrow","OK","South","West South Central","broken arrow","OK",98264,"city 100,000 thru 249,999",NA,NA,NA,NA,98264,"Broken Arrow, OK","City","South"
"Brooklyn Park,MN,City","Brooklyn Park",0,6,5,13,21,137,8,2017,1,"MN","Brooklyn Park,MN","City",24,166,"Brooklyn Park","MN","https://cde.state.mn.us/","State UCR","Open Source",81920,NA,NA,"","","MN0270300","Brooklyn Park","MN","Midwest","West North Central","brooklyn park","MN",80665,"city 50,000 thru 99,999",NA,NA,NA,NA,80665,"Brooklyn Park, MN","City","Midwest"
"Broomfield,CO,City","Broomfield",0,2,1,3,8,102,10,2017,1,"CO","Broomfield,CO","City",6,120,"Broomfield","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",77072,NA,NA,"","","CO0640100","Broomfield","CO","West","Mountain","broomfield","CO",78294,"city 50,000 thru 99,999",NA,NA,NA,NA,78294,"Broomfield, CO","City","West"
"Brownsville,TX,City","Brownsville",1,4,9,12,58,424,18,2017,1,"TX","Brownsville,TX","City",26,500,"Brownsville","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",190590,NA,NA,"","","TX0310100","Brownsville","TX","South","West South Central","brownsville","TX",191221,"city 100,000 thru 249,999",NA,NA,NA,NA,191221,"Brownsville, TX","City","South"
