"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","city_state.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","population.x","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population.y","Agency_Type.y"
"Austin,TX,City","Austin",1,65,74,181,433,2170,177,2017,1,"TX","Austin,TX","City",321,2780,"Austin","TX","Austin ,TX","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",978816,NA,NA,"","","TX2270100","Austin","TX","South","West South Central",978816,"austin","TX",913699,"city 500,000 thru 999,999",NA,NA,NA,NA,NA,"City"
"Avondale,AZ,City","Avondale",0,4,8,12,50,208,17,2017,1,"AZ","Avondale,AZ","City",24,275,"Avondale","AZ","Avondale ,AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",92661,NA,NA,"","","AZ0070100","Avondale","AZ","West","Mountain",92661,"avondale","AZ",94911,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bakersfield,CA,City","Bakersfield",1,4,61,74,285,967,284,2017,1,"CA","Bakersfield,CA","City",140,1536,"Bakersfield","CA","Bakersfield ,CA","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",413409,NA,NA,"","","CA0150200","Bakersfield","CA","West","Pacific",413409,"bakersfield","CA",416120,"city 250,000 thru 499,999",NA,NA,NA,NA,NA,"City"
"Baldwin Park,CA,City","Baldwin Park",0,4,8,16,37,77,30,2017,1,"CA","Baldwin Park,CA","City",28,144,"Baldwin Park","CA","Baldwin Park ,CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67791,NA,NA,"","","CA0190600","Baldwin Park","CA","West","Pacific",68230,"baldwin park","CA",67791,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Baltimore,MD,City","Baltimore",32,31,586,580,736,1453,498,2017,1,"MD","Baltimore,MD","City",1229,2687,"Baltimore","MD","Baltimore ,MD","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",565192,NA,NA,"","","MDBPD0000","Baltimore","MD","South","South Atlantic",565192,"baltimore","MD",566632,"city 500,000 thru 999,999",NA,NA,NA,NA,NA,"City"
"Baltimore,MD,County","Baltimore",2,24,174,214,363,1473,189,2017,1,"MD","Baltimore,MD","County",414,2025,"Baltimore","MD","Baltimore ,MD","https://opendata.baltimorecountymd.gov/pages/dash","Agency Aggregated","Open Source",845222,NA,NA,"","","MD0030100","Baltimore","MD","South","South Atlantic",845222,"baltimore county pol dep","MD",852726,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Bartlett,TN,City","Bartlett",0,1,1,15,7,56,4,2017,1,"TN","Bartlett,TN","City",17,67,"Bartlett","TN","Bartlett ,TN","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",56324,NA,NA,"","","TN0790600","Bartlett","TN","South","East South Central",56324,"bartlett","TN",55494,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Battle Creek,MI,City","Battle Creek",3,8,2,67,36,118,37,2023,6,"MI","Battle Creek,MI","City",80,191,"Battle Creek","MI","Battle Creek ,MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",60969,NA,NA,"","","MI1323700","Battle Creek","MI","Midwest","East North Central",60969,"battle creek","MI",61163,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Baytown,TX,City","Baytown",0,3,18,10,44,160,29,2017,1,"TX","Baytown,TX","City",31,233,"Baytown","TX","Baytown ,TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83809,NA,NA,"","","TX1010100","Baytown","TX","South","West South Central",83809,"baytown","TX",78692,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Beaufort,SC,County","Beaufort",0,4,5,15,24,101,13,2017,1,"SC","Beaufort,SC","County",24,138,"Beaufort","SC","Beaufort ,SC","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",132948,NA,NA,"","","SC0070000","Beaufort","SC","South","South Atlantic",132948,"beaufort","SC",134553,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Beaumont,CA,City","Beaumont",0,2,0,7,10,55,11,2017,1,"CA","Beaumont,CA","City",9,76,"Beaumont","CA","Beaumont ,CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",60294,NA,NA,"","","CA0330200","Beaumont","CA","West","Pacific",57819,"beaumont","CA",60294,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Beaumont,TX,City","Beaumont",2,11,38,58,132,293,24,2017,1,"TX","Beaumont,TX","City",109,449,"Beaumont","TX","Beaumont ,TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110671,NA,NA,"","","TX1230100","Beaumont","TX","South","West South Central",110671,"beaumont","TX",111320,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Beaverton,OR,City","Beaverton",0,3,5,6,20,109,18,2017,1,"OR","Beaverton,OR","City",14,147,"Beaverton","OR","Beaverton ,OR","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",96840,NA,NA,"","","OR0340100","Beaverton","OR","West","Pacific",96840,"beaverton","OR",96762,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bellevue,NE,City","Bellevue",0,3,0,1,9,41,11,2017,1,"NE","Bellevue,NE","City",4,61,"Bellevue","NE","Bellevue ,NE","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",62372,NA,NA,"","","NB0770100","Bellevue","NE","Midwest","West North Central",62372,"bellevue","NE",63510,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bellingham,WA,City","Bellingham",0,NA,7,NA,NA,273,17,2017,1,"WA","Bellingham,WA","City",7,290,"Bellingham","WA","Bellingham ,WA","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",94968,NA,NA,"","","WA0370100","Bellingham","WA","West","Pacific",94968,"bellingham","WA",95717,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bentonville,AR,City","Bentonville",0,5,1,5,5,52,6,2017,1,"AR","Bentonville,AR","City",11,63,"Bentonville","AR","Bentonville ,AR","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",61109,NA,NA,"","","AR0040100","Bentonville","AR","South","West South Central",59465,"bentonville","AR",61109,"city 50,000 thru 99,999",NA,NA,NA,101,111776,"City"
"Berkeley,CA,City","Berkeley",1,9,36,11,57,384,57,2017,1,"CA","Berkeley,CA","City",57,498,"Berkeley","CA","Berkeley ,CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",116595,NA,NA,"","","CA0010300","Berkeley","CA","West","Pacific",116595,"berkeley","CA",117400,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Berkeley,SC,County","Berkeley",0,13,9,27,48,166,42,2017,1,"SC","Berkeley,SC","County",49,256,"Berkeley","SC","Berkeley ,SC","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",142756,NA,NA,"","","SC0080000","Berkeley","SC","South","South Atlantic",142756,"berkeley","SC",150616,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Bethlehem,PA,City","Bethlehem",0,1,8,35,18,90,3,2017,1,"PA","Bethlehem,PA","City",44,111,"Bethlehem","PA","Bethlehem ,PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",78606,NA,NA,"Inferred Dec 2019 from annual average","","PA0480300","Bethlehem","PA","Northeast","Middle Atlantic",78606,"bethlehem","PA",59181,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bismarck,ND,City","Bismarck",0,4,2,27,34,119,26,2017,1,"ND","Bismarck,ND","City",33,179,"Bismarck","ND","Bismarck ,ND","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","","ND0080100","Bismarck","ND","Midwest","West North Central",74802,"bismarck","ND",75546,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Blaine,MN,City","Blaine",0,1,1,5,13,124,3,2017,1,"MN","Blaine,MN","City",7,140,"Blaine","MN","Blaine ,MN","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","","MN0020200","Blaine","MN","Midwest","West North Central",72384,"blaine","MN",74913,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bloomfield,NJ,City","Bloomfield",0,0,2,1,8,44,10,2017,1,"NJ","Bloomfield,NJ","City",3,62,"Bloomfield","NJ","Bloomfield ,NJ","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",55161,NA,NA,"Inferred Jan - Mar 2021 from annual total","","NJ0070200","Bloomfield","NJ","Northeast","Middle Atlantic",53181,"bloomfield","NJ",55161,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bloomington,MN,City","Bloomington",0,5,5,6,16,211,15,2017,1,"MN","Bloomington,MN","City",16,242,"Bloomington","MN","Bloomington ,MN","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","","MN0270100","Bloomington","MN","Midwest","West North Central",86793,"bloomington","MN",86598,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Blue Springs,MO,City","Blue Springs",0,1,0,8,13,109,7,2017,1,"MO","Blue Springs,MO","City",9,129,"Blue Springs","MO","Blue Springs ,MO","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","","MO0480100","Blue Springs","MO","Midwest","West North Central",59896,"blue springs","MO",61096,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bolingbrook,IL,City","Bolingbrook",0,0,2,11,7,56,10,2017,1,"IL","Bolingbrook,IL","City",13,73,"Bolingbrook","IL","Bolingbrook ,IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","","IL0990200","Bolingbrook","IL","Midwest","East North Central",74138,"bolingbrook","IL",72708,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Boone,KY,County","Boone",0,4,2,2,11,54,8,2017,1,"KY","Boone,KY","County",8,73,"Boone","KY","Boone ,KY","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",107867,NA,NA,"","","KY0080000","Boone","KY","South","East South Central",107867,"boone","KY",110398,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Bossier City,LA,City","Bossier City",0,2,4,38,43,189,21,2017,1,"LA","Bossier City,LA","City",44,253,"Bossier City","LA","Bossier City ,LA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",62750,NA,NA,"","","LA0080100","Bossier City","LA","South","West South Central",62602,"bossier city","LA",62750,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Boston,MA,City","Boston",5,34,152,219,169,940,131,2017,1,"MA","Boston,MA","City",410,1240,"Boston","MA","Boston ,MA","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",642823,NA,NA,"","","MA0130100","Boston","MA","Northeast","New England",642823,"boston","MA",659049,"city 500,000 thru 999,999",NA,NA,NA,NA,NA,"City"
"Boulder,CO,City","Boulder",0,3,5,17,34,197,29,2017,1,"CO","Boulder,CO","City",25,260,"Boulder","CO","Boulder ,CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104232,NA,NA,"","","CO0070100","Boulder","CO","West","Mountain",104232,"boulder","CO",105195,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Bowie,MD,City","Bowie",3,0,7,7,6,72,11,2017,1,"MD","Bowie,MD","City",17,89,"Bowie","MD","Bowie ,MD","https://www.mwcog.org/public-safety-and-homeland-security/data-and-tools/crime-dashboard/","Agency Aggregated","Open Source",56678,NA,NA,"","","MD0174100","Bowie","MD","South","South Atlantic",56678,"bowie","MD",56929,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bowling Green,KY,City","Bowling Green",0,12,8,14,51,195,11,2017,1,"KY","Bowling Green,KY","City",34,257,"Bowling Green","KY","Bowling Green ,KY","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",77503,NA,NA,"","","KY1140100","Bowling Green","KY","South","East South Central",76194,"bowling green","KY",77503,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Bozeman,MT,City","Bozeman",0,4,1,9,3,115,14,2017,1,"MT","Bozeman,MT","City",14,132,"Bozeman","MT","Bozeman ,MT","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",58509,NA,NA,"","","MT0160100","Bozeman","MT","West","Mountain",57424,"bozeman","MT",58509,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Brazoria,TX,County","Brazoria",0,4,5,7,34,53,13,2017,1,"TX","Brazoria,TX","County",16,100,"Brazoria","TX","Brazoria ,TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",132229,NA,NA,"","","TX0200000","Brazoria","TX","South","West South Central",132229,"brazoria","TX",141817,"msa-county 100,000+",NA,NA,NA,NA,NA,"County"
"Bridgeport,CT,City","Bridgeport",2,9,51,46,59,162,70,2017,1,"CT","Bridgeport,CT","City",108,291,"Bridgeport","CT","Bridgeport ,CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148483,NA,NA,"","","CT0001500","Bridgeport","CT","Northeast","New England",148483,"bridgeport","CT",148132,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Bristol,CT,City","Bristol",1,0,1,2,14,38,6,2017,1,"CT","Bristol,CT","City",4,58,"Bristol","CT","Bristol ,CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",61609,NA,NA,"","","CT0001700","Bristol","CT","Northeast","New England",61609,"bristol","CT",61895,"city 50,000 thru 99,999",NA,NA,NA,NA,NA,"City"
"Brockton,MA,City","Brockton",2,10,12,53,37,132,20,2017,1,"MA","Brockton,MA","City",77,189,"Brockton","MA","Brockton ,MA","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",108938,NA,NA,"","","MA0120300","Brockton","MA","Northeast","New England",108938,"brockton","MA",106650,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
"Broken Arrow,OK,City","Broken Arrow",0,2,5,6,43,140,16,2017,1,"OK","Broken Arrow,OK","City",13,199,"Broken Arrow","OK","Broken Arrow ,OK","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",98264,NA,NA,"","","OK0720100","Broken Arrow","OK","South","West South Central",119959,"broken arrow","OK",98264,"city 100,000 thru 249,999",NA,NA,NA,NA,NA,"City"
