"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Centennial, CO","Centennial",0,0,2,24,18,147,39,2023,7,"CO",26,204,"Centennial","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",105849,104724,NA,NA,"","Centennial","CO","West","Mountain",104724
"Champaign, IL","Champaign",0,7,6,29,42,130,17,2024,9,"IL",42,189,"Champaign","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",89815,89687,NA,NA,"","Champaign","IL","Midwest","East North Central",89687
"Chandler, AZ","Chandler",0,16,16,20,90,373,26,2018,5,"AZ",52,489,"Chandler","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",281373,282419,NA,NA,"","Chandler","AZ","West","Mountain",282419
"Charlotte, NC","Charlotte",16,18,136,302,292,1871,250,2020,6,"NC",472,2413,"Charlotte","https://data.charlottenc.gov/search?q=CMPD","Agency RMS","Open Source",955466,979304,NA,NA,"","Charlotte-Mecklenburg","NC","South","South Atlantic",979304
"Chattanooga, TN","Chattanooga",1,17,23,103,82,692,134,2023,10,"TN",144,908,"Chattanooga","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",182603,185370,NA,NA,"","Chattanooga","TN","South","East South Central",185370
"Chesapeake, VA","Chesapeake",1,2,5,66,31,245,20,2024,2,"VA",74,296,"Chesapeake","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",253745,254051,NA,NA,"","Chesapeake","VA","South","South Atlantic",254051
"Cheyenne, WY","Cheyenne",0,4,2,4,19,135,11,2017,1,"WY",10,165,"Cheyenne","https://crimestats.wyo.gov/public/View/dispview.aspx","State UCR","Open Source",64610,64307,NA,NA,"","Cheyenne","WY","West","Mountain",64307
"Chicago, IL","Chicago",70,147,888,1580,760,6025,1980,2024,7,"IL",2685,8765,"Chicago","https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/explore/query/SELECT%0A%20%20%60id%60%2C%0A%20%20%60case_number%60%2C%0A%20%20%60date%60%2C%0A%20%20%60block%60%2C%0A%20%20%60iucr%60%2C%0A%20%20%60primary_type%60%2C%0A%20%20%60description%60%2C%0A%20%20%60location_description%60%2C%0A%20%20%60arrest%60%2C%0A%20%20%60domestic%60%2C%0A%20%20%60beat%60%2C%0A%20%20%60district%60%2C%0A%20%20%60ward%60%2C%0A%20%20%60community_area%60%2C%0A%20%20%60fbi_code%60%2C%0A%20%20%60x_coordinate%60%2C%0A%20%20%60y_coordinate%60%2C%0A%20%20%60year%60%2C%0A%20%20%60updated_on%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60location%60%2C%0A%20%20%60%3A%40computed_region_awaf_s7ux%60%2C%0A%20%20%60%3A%40computed_region_6mkv_f3dw%60%2C%0A%20%20%60%3A%40computed_region_vrxf_vc4k%60%2C%0A%20%20%60%3A%40computed_region_bdys_3d7i%60%2C%0A%20%20%60%3A%40computed_region_43wa_7qmu%60%2C%0A%20%20%60%3A%40computed_region_rpca_8um6%60%2C%0A%20%20%60%3A%40computed_region_d9mm_jgwp%60%2C%0A%20%20%60%3A%40computed_region_d3ds_rm58%60%2C%0A%20%20%60%3A%40computed_region_8hcu_yrd4%60%0AORDER%20BY%20%60date%60%20DESC%20NULL%20FIRST/page/filter","Agency RMS","Open Source",2652124,2628298,NA,NA,"","Chicago","IL","Midwest","East North Central",2628298
"Chicopee, MA","Chicopee",0,2,4,18,19,67,6,2018,6,"MA",24,92,"Chicopee","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",55265,55043,NA,NA,"","Chicopee","MA","Northeast","New England",55043
"Chula Vista, CA","Chula Vista",2,3,30,49,46,239,101,2022,2,"CA",84,386,"Chula Vista","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",277976,280748,NA,NA,"","Chula Vista","CA","West","Pacific",280748
"Cicero, IL","Cicero",0,3,2,6,11,46,11,2023,4,"IL",11,68,"Cicero","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",81492,80455,NA,NA,"","Cicero","IL","Midwest","East North Central",80455
"Cincinnati, OH","Cincinnati",4,25,63,82,156,583,209,2023,1,"OH",174,948,"Cincinnati","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",307761,309484,NA,NA,"","Cincinnati","OH","Midwest","East North Central",309484
"Coeur D Alene, ID","Coeur D Alene",0,7,0,6,6,39,5,2021,10,"ID",13,50,"Coeur D Alene","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",57061,57653,NA,NA,"","Coeur d'Alene","ID","West","Mountain",57653
"Colerain Township, OH","Colerain Township",0,1,1,2,5,94,4,2022,3,"OH",4,103,"Colerain Township","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",58548,58268,NA,NA,"","Colerain Township","OH","Midwest","East North Central",58268
"College Station, TX","College Station",0,4,11,8,50,144,8,2017,1,"TX",23,202,"College Station","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",121618,126136,NA,NA,"","College Station","TX","South","West South Central",126136
"Colorado Springs, CO","Colorado Springs",1,44,38,215,174,1033,233,2023,4,"CO",298,1440,"Colorado Springs","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",487728,489254,NA,NA,"","Colorado Springs","CO","West","Mountain",489254
"Columbia, MO","Columbia",0,15,11,37,45,189,27,2017,1,"MO",63,261,"Columbia","https://showmecrime.mo.gov/","State UCR","Open Source",127862,129602,NA,NA,"","Columbia","MO","Midwest","West North Central",129602
"Columbus, OH","Columbus",13,NA,NA,NA,NA,NA,NA,2017,3,"OH",13,0,"Columbus","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",907196,908834,NA,NA,"","Columbus","OH","Midwest","East North Central",908834
"Commerce City, CO","Commerce City",0,3,2,18,17,108,19,2017,5,"CO",23,144,"Commerce City","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",65817,67851,NA,NA,"","Commerce City","CO","West","Mountain",67851
"Concord, CA","Concord",1,5,16,23,49,235,42,2018,2,"CA",45,326,"Concord","https://www.cityofconcord.org/1197/2024-Crime-Statistics","Agency Aggregated","Open Source",122982,121331,NA,NA,"","Concord","CA","West","Pacific",121331
"Conroe, TX","Conroe",0,3,8,7,33,156,15,2017,1,"TX",18,204,"Conroe","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",98623,106904,NA,NA,"","Conroe","TX","South","West South Central",106904
"Coon Rapids, MN","Coon Rapids",0,3,3,2,7,76,3,2021,2,"MN",8,86,"Coon Rapids","https://cde.state.mn.us/","State UCR","Open Source",63181,62391,NA,NA,"","Coon Rapids","MN","Midwest","West North Central",62391
"Corpus Christi, TX","Corpus Christi",2,25,44,115,153,779,52,2017,1,"TX",186,984,"Corpus Christi","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",317694,315340,NA,NA,"","Corpus Christi","TX","South","West South Central",315340
"Corvallis, OR","Corvallis",0,3,5,3,23,160,3,2023,4,"OR",11,186,"Corvallis","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",60031,61474,NA,NA,"Inferred Oct-Dec 2019 from reported state total","Corvallis","OR","West","Pacific",61474
"Cranston, RI","Cranston",0,0,1,8,12,76,10,2017,1,"RI",9,98,"Cranston","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",82205,82484,NA,NA,"","Cranston","RI","Northeast","New England",82484
"Dallas, TX","Dallas",16,58,403,419,943,2164,700,2017,1,"TX",896,3807,"Dallas","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",1286121,1304989,NA,NA,"","Dallas","TX","South","West South Central",1304989
"Dayton, OH","Dayton",4,26,29,91,156,302,181,2022,8,"OH",150,639,"Dayton","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",137084,135181,NA,NA,"","Dayton","OH","Midwest","East North Central",135181
"Dearborn Heights, MI","Dearborn Heights",0,2,0,23,11,58,31,2022,10,"MI",25,100,"Dearborn Heights","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,61420,NA,NA,"","Dearborn Heights","MI","Midwest","East North Central",61420
"Dearborn, MI","Dearborn",0,5,6,20,11,125,26,2022,6,"MI",31,162,"Dearborn","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,106747,NA,NA,"","Dearborn","MI","Midwest","East North Central",106747
"Decatur, IL","Decatur",2,3,14,30,80,122,8,2018,7,"IL",49,210,"Decatur","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68789,68301,NA,NA,"","Decatur","IL","Midwest","East North Central",68301
"Denton, TX","Denton",0,12,3,21,51,170,20,2017,1,"TX",36,241,"Denton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",154230,155215,NA,NA,"","Denton","TX","South","West South Central",155215
"Denver, CO","Denver",4,77,120,207,331,1347,521,2017,11,"CO",408,2199,"Denver","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",705264,712222,NA,NA,"","Denver","CO","West","Mountain",712222
"Desoto, TX","Desoto",1,6,9,10,39,97,21,2017,1,"TX",26,157,"Desoto","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55956,56257,NA,NA,"","DeSoto","TX","South","West South Central",56257
"Detroit, MI","Detroit",22,65,229,557,772,1059,739,2017,1,"MI",873,2570,"Detroit","https://data.detroitmi.gov/datasets/rms-crime-incidents","Agency RMS","Open Source",626757,615501,NA,NA,"","Detroit","MI","Midwest","East North Central",615501
"Dublin, OH","Dublin",0,1,2,0,3,36,4,2022,3,"OH",3,43,"Dublin","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48799,48799,NA,NA,"","Dublin","OH","Midwest","East North Central",48827
"Duluth, MN","Duluth",4,4,5,12,21,204,17,2022,4,"MN",25,242,"Duluth","https://cde.state.mn.us/","State UCR","Open Source",86144,86570,NA,NA,"","Duluth","MN","Midwest","West North Central",86570
"Dunwoody, GA","Dunwoody",0,0,0,2,8,132,14,2018,4,"GA",2,154,"Dunwoody","https://www.dunwoodyga.gov/police/crime-info-stats/crime-comparison","Agency Aggregated","Open Source",50271,52505,NA,NA,"","Dunwoody","GA","South","South Atlantic",52505
"Durham, NC","Durham",2,11,39,204,151,643,107,2020,7,"NC",256,901,"Durham","https://www.durhamnc.gov/Archive.aspx?AMID=195","Agency Aggregated","Open Source",286377,295788,NA,NA,"","Durham","NC","South","South Atlantic",295788
"Eagan, MN","Eagan",0,0,3,1,12,99,10,2020,6,"MN",4,121,"Eagan","https://cde.state.mn.us/","State UCR","Open Source",68518,66943,NA,NA,"Inferred Aug 2020 from annual average","Eagan","MN","Midwest","West North Central",66943
"East Hartford, CT","East Hartford",0,1,1,1,5,55,25,2024,2,"CT",3,85,"East Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",50579,50625,NA,NA,"","East Hartford","CT","Northeast","New England",50625
"Eden Prairie, MN","Eden Prairie",0,1,1,0,12,63,14,2020,8,"MN",2,89,"Eden Prairie","https://cde.state.mn.us/","State UCR","Open Source",62008,61645,NA,NA,"","Eden Prairie","MN","Midwest","West North Central",61645
"Edina, MN","Edina",0,0,0,9,8,51,4,2024,10,"MN",9,63,"Edina","https://cde.state.mn.us/","State UCR","Open Source",53206,51980,NA,NA,"","Edina","MN","Midwest","West North Central",51980
"Edinburg, TX","Edinburg",0,9,1,9,37,254,20,2017,1,"TX",19,311,"Edinburg","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",104987,106137,NA,NA,"","Edinburg","TX","South","West South Central",106137
"El Cajon, CA","El Cajon",0,3,8,30,22,103,23,2020,7,"CA",41,148,"El Cajon","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",104693,103569,NA,NA,"","El Cajon","CA","West","Pacific",103569
"Elyria, OH","Elyria",0,3,2,1,7,76,7,2022,2,"OH",6,90,"Elyria","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",52902,53024,NA,NA,"","Elyria","OH","Midwest","East North Central",53024
"Erie, PA","Erie",0,1,6,24,17,88,11,2023,2,"PA",31,116,"Erie","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",93363,92920,NA,NA,"","Erie","PA","Northeast","Middle Atlantic",92920
"Escondido, CA","Escondido",0,6,7,46,24,128,16,2024,3,"CA",59,168,"Escondido","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",150072,149837,NA,NA,"","Escondido","CA","West","Pacific",149837
"Euclid, OH","Euclid",1,2,1,3,5,53,36,2023,9,"OH",7,94,"Euclid","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48344,48344,NA,NA,"","Euclid","OH","Midwest","East North Central",48170
"Eugene, OR","Eugene",0,9,10,27,64,290,46,2024,1,"OR",46,400,"Eugene","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",175390,178191,NA,NA,"","Eugene","OR","West","Pacific",178191
"Euless, TX","Euless",0,0,2,2,12,71,22,2017,1,"TX",4,105,"Euless","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",59901,59722,NA,NA,"","Euless","TX","South","West South Central",59722
