agency_name,state_name,lat,long,population,crime_type,Percent_Change,national_sample
Ada County,Idaho,43.4136539,-116.2367421,138487,Violent Crimes,-16.6666666666667,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Aggravated Assaults,-1.49253731343284,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Burglaries,40.4255319148936,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Motor Vehicle Thefts,50,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Murders,0,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Property Crimes,-1.06666666666667,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Rapes,175,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Robberies,-50,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Thefts,-12.3333333333333,TRUE
Albany,Georgia,31.5782062,-84.1556809,66281,Violent Crimes,-3.2967032967033,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Aggravated Assaults,-93.3333333333333,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Burglaries,83.3333333333333,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Motor Vehicle Thefts,-43.75,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Murders,Undefined,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Property Crimes,-6.60377358490566,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Rapes,-66.6666666666667,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Robberies,0,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Thefts,-6.31578947368421,TRUE
Albemarle County,Virginia,38.0085107,-78.6086754,115659,Violent Crimes,-69.5652173913043,TRUE
Albuquerque,New Mexico,35.0841034,-106.650985,559094,Murders,-57.1428571428571,TRUE
Albuquerque,New Mexico,35.0841034,-106.650985,559094,Property Crimes,0,TRUE
Albuquerque,New Mexico,35.0841034,-106.650985,559094,Violent Crimes,-57.1428571428571,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Aggravated Assaults,-53.3333333333333,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Burglaries,-70,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Motor Vehicle Thefts,-52.3809523809524,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Murders,0,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Property Crimes,-11.5646258503401,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Rapes,-100,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Robberies,-75,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Thefts,0.862068965517241,TRUE
Allen,Texas,33.1031744,-96.6705503,114696,Violent Crimes,-66.6666666666667,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Aggravated Assaults,-25,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Burglaries,-47.2222222222222,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Motor Vehicle Thefts,-51.9230769230769,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Murders,0,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Property Crimes,-30.4109589041096,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Rapes,40,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Robberies,-6.66666666666667,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Thefts,-24.187725631769,TRUE
Allentown,Pennsylvania,40.6022059,-75.4712794,124782,Violent Crimes,-14.0350877192982,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Aggravated Assaults,-31.25,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Burglaries,-45.0980392156863,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Motor Vehicle Thefts,-32.3809523809524,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Murders,-80,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Property Crimes,-9.52380952380952,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Rapes,-51.7241379310345,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Robberies,-45.1612903225806,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Thefts,2.25225225225225,TRUE
Amarillo,Texas,35.20729,-101.8371192,201684,Violent Crimes,-37.3205741626794,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Aggravated Assaults,-16.6666666666667,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Burglaries,-16.6666666666667,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Motor Vehicle Thefts,-35,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Murders,0,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Property Crimes,-25.5384615384615,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Rapes,-18.1818181818182,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Robberies,0,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Thefts,-25.6227758007117,TRUE
Ann Arbor,Michigan,42.2813722,-83.7484616,118072,Violent Crimes,-14.2857142857143,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Aggravated Assaults,14.1176470588235,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Burglaries,-41.1214953271028,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Motor Vehicle Thefts,-33.3333333333333,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Murders,-50,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Property Crimes,-37.6623376623377,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Rapes,75,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Robberies,0,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Thefts,-40.0621118012422,TRUE
Antioch,California,38.0093296,-121.8106925,115271,Violent Crimes,10.8333333333333,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Aggravated Assaults,0,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Burglaries,-100,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Motor Vehicle Thefts,-100,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Murders,0,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Property Crimes,-40.8284023668639,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Rapes,-75,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Robberies,-100,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Thefts,-33.7748344370861,TRUE
Apple Valley,Minnesota,44.7319094,-93.21772,54995,Violent Crimes,-22.2222222222222,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Aggravated Assaults,-22.4489795918367,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Burglaries,46.9387755102041,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Motor Vehicle Thefts,-43.8775510204082,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Murders,0,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Property Crimes,-7.88732394366197,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Rapes,-83.3333333333333,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Robberies,100,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Thefts,-3.84615384615385,TRUE
Arapahoe County,Colorado,39.6416781,-104.3628567,104204,Violent Crimes,-20.3389830508475,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Aggravated Assaults,25.4901960784314,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Burglaries,86.3636363636364,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Motor Vehicle Thefts,-58.5714285714286,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Murders,0,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Property Crimes,-7.68156424581006,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Rapes,-72.7272727272727,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Robberies,31.25,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Thefts,-5.28846153846154,TRUE
Arlington County,Virginia,38.8769326,-77.0893094,231844,Violent Crimes,15.9574468085106,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Aggravated Assaults,-60,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Burglaries,-75,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Motor Vehicle Thefts,-33.3333333333333,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Murders,0,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Property Crimes,-16.0919540229885,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Rapes,-50,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Robberies,-100,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Thefts,3.125,TRUE
Arlington Heights,Illinois,42.0811563,-87.9802164,74094,Violent Crimes,-70,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Aggravated Assaults,0.558659217877095,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Burglaries,-17.3913043478261,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Motor Vehicle Thefts,-49.8507462686567,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Murders,-66.6666666666667,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Property Crimes,-10.8653220559532,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Rapes,-7.31707317073171,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Robberies,3.7037037037037,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Thefts,3.1434184675835,TRUE
Arlington,Texas,32.7355816,-97.1071186,394799,Violent Crimes,-1.97628458498024,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Aggravated Assaults,11.1111111111111,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Burglaries,-6.02409638554217,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Motor Vehicle Thefts,-25.7575757575758,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Murders,-100,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Property Crimes,-8.0952380952381,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Rapes,-46.1538461538462,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Robberies,-50,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Thefts,-6.02910602910603,TRUE
Asheville,North Carolina,35.595363,-82.5508407,93471,Violent Crimes,-6.95652173913043,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Aggravated Assaults,6.18181818181818,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Burglaries,-2.2875816993464,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Motor Vehicle Thefts,-44.8275862068966,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Murders,-19.047619047619,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Property Crimes,-23.5905044510386,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Robberies,27.1604938271605,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Thefts,-19.4805194805195,TRUE
Atlanta,Georgia,33.7489924,-84.3902644,500212,Violent Crimes,9.28381962864722,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Aggravated Assaults,-17.1912832929782,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Burglaries,-22.0657276995305,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Motor Vehicle Thefts,-40.0275103163686,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Murders,-57.1428571428571,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Property Crimes,-22.8558599012124,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Rapes,-43.0769230769231,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Robberies,-27.5,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Thefts,-13.2867132867133,TRUE
Aurora,Colorado,39.7405111,-104.830994,396976,Violent Crimes,-22.1238938053097,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Aggravated Assaults,-9.69162995594714,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Burglaries,-18.2561307901907,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Motor Vehicle Thefts,-33.4507042253521,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Murders,-33.3333333333333,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Property Crimes,-12.3125347157934,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Rapes,2.40963855421687,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Robberies,-3.30578512396694,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Thefts,-4.27640894930615,TRUE
Austin,Texas,30.2711286,-97.7436995,978816,Violent Crimes,-7.34632683658171,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Aggravated Assaults,80,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Burglaries,-13.7931034482759,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Motor Vehicle Thefts,-27.6595744680851,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Murders,0,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Property Crimes,-15.0895140664962,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Rapes,16.6666666666667,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Robberies,-25,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Thefts,-13.3333333333333,TRUE
Avondale,Arizona,33.4355977,-112.349602,92661,Violent Crimes,48.7179487179487,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Aggravated Assaults,-30.794701986755,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Burglaries,-48.0804387568556,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Motor Vehicle Thefts,-43.2758620689655,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Murders,-28.5714285714286,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Property Crimes,-33.1902718168813,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Rapes,-16,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Robberies,-34.0659340659341,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Thefts,-18.7628865979381,TRUE
Bakersfield,California,35.3738712,-119.019463,413409,Violent Crimes,-30.5882352941176,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Aggravated Assaults,11.5384615384615,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Burglaries,4.83091787439614,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Motor Vehicle Thefts,-39.8671096345515,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Murders,0,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Property Crimes,-8.35903763109192,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Robberies,-27.0967741935484,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Thefts,-1.68516235100699,TRUE
Baltimore County,Maryland,39.4445243,-76.6483482,845222,Violent Crimes,-2.02702702702703,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Aggravated Assaults,-17.2727272727273,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Burglaries,0.392156862745098,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Motor Vehicle Thefts,-52.7220630372493,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Murders,-18.5185185185185,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Property Crimes,-20.5301204819277,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Rapes,-48.3870967741936,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Robberies,-17.6470588235294,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Thefts,-5.2584670231729,TRUE
Baltimore,Maryland,39.2908816,-76.610759,565192,Violent Crimes,-18.7253613666229,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Aggravated Assaults,-1.40845070422535,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Burglaries,-56.140350877193,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Motor Vehicle Thefts,-67.3913043478261,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Murders,-100,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Property Crimes,-32.520325203252,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Rapes,-30.7692307692308,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Robberies,-50,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Thefts,-11.8881118881119,TRUE
Battle Creek,Michigan,42.3192548,-85.1824269,60969,Violent Crimes,-10.8695652173913,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Aggravated Assaults,-6.25,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Burglaries,24.4444444444444,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Motor Vehicle Thefts,-23.8805970149254,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Murders,Undefined,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Property Crimes,-5.3475935828877,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Rapes,-50,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Robberies,20,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Thefts,-5.72519083969466,TRUE
Baytown,Texas,29.7355047,-94.9774274,83809,Violent Crimes,-12.2448979591837,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Aggravated Assaults,-18.7919463087248,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Burglaries,-8.33333333333333,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Motor Vehicle Thefts,-40.6779661016949,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Murders,0,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Property Crimes,-24.9174917491749,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Rapes,-52.6315789473684,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Robberies,-14.8148148148148,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Thefts,-27.4004683840749,TRUE
Beaumont,Texas,30.0829344,-94.0984277,110671,Violent Crimes,-21.3197969543147,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Aggravated Assaults,-45.8333333333333,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Burglaries,-40.8163265306122,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Motor Vehicle Thefts,-34.0425531914894,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Murders,Undefined,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Property Crimes,20.6997084548105,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Rapes,0,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Robberies,50,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Thefts,43.3198380566802,TRUE
Beaverton,Oregon,45.4871723,-122.80378,96840,Violent Crimes,-15.7894736842105,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Aggravated Assaults,0,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Burglaries,200,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Motor Vehicle Thefts,-22.2222222222222,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Murders,0,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Property Crimes,35.7798165137615,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Rapes,16.6666666666667,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Robberies,100,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Thefts,40.2298850574713,TRUE
Bellevue,Nebraska,41.1365122,-95.8937398,62372,Violent Crimes,28.5714285714286,TRUE
Bellingham,Washington,48.7544012,-122.478836,94968,Motor Vehicle Thefts,-20.8333333333333,TRUE
Bellingham,Washington,48.7544012,-122.478836,94968,Murders,0,TRUE
Bellingham,Washington,48.7544012,-122.478836,94968,Property Crimes,4.85714285714286,TRUE
Bellingham,Washington,48.7544012,-122.478836,94968,Robberies,-30.7692307692308,TRUE
Bellingham,Washington,48.7544012,-122.478836,94968,Thefts,6.74846625766871,TRUE
Bellingham,Washington,48.7544012,-122.478836,94968,Violent Crimes,-30.7692307692308,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Aggravated Assaults,80,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Burglaries,-67.6470588235294,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Motor Vehicle Thefts,-40,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Murders,Undefined,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Property Crimes,-28.1021897810219,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Rapes,-50,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Robberies,-40,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Thefts,-21.3333333333333,TRUE
Bend,Oregon,44.0581728,-121.3153096,105099,Violent Crimes,26.3157894736842,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Aggravated Assaults,-61.7647058823529,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Burglaries,80,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Motor Vehicle Thefts,-70.9677419354839,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Murders,0,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Property Crimes,-22.8723404255319,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Rapes,-57.1428571428571,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Robberies,-50,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Thefts,-16.4473684210526,TRUE
Bethlehem,Pennsylvania,40.6178915,-75.3786521,78606,Violent Crimes,-60,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Aggravated Assaults,-6.66666666666667,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Burglaries,-23.0769230769231,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Motor Vehicle Thefts,-55.7692307692308,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Murders,0,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Property Crimes,-25.974025974026,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Rapes,25,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Robberies,100,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Thefts,-19.3548387096774,TRUE
Bismarck,North Dakota,46.808327,-100.783739,74802,Violent Crimes,12,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Aggravated Assaults,-63.6363636363636,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Burglaries,-20,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Motor Vehicle Thefts,-20,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Murders,0,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Property Crimes,-46.031746031746,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Rapes,Undefined,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Robberies,0,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Thefts,-48.2758620689655,TRUE
Blaine,Minnesota,45.1607987,-93.2349489,72384,Violent Crimes,-35.7142857142857,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Aggravated Assaults,-29.1666666666667,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Burglaries,-37.1428571428571,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Motor Vehicle Thefts,-61.5384615384615,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Murders,-100,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Property Crimes,-40.4718693284936,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Rapes,28.5714285714286,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Robberies,-28.5714285714286,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Thefts,-38.9937106918239,TRUE
Bloomington,Minnesota,44.8322405,-93.3204872,86793,Violent Crimes,-20.5128205128205,TRUE
Blue Springs,Missouri,39.017316,-94.282265,59896,Aggravated Assaults,-73.3333333333333,TRUE
Blue Springs,Missouri,39.017316,-94.282265,59896,Burglaries,25,TRUE
