"agency_name","state_name","crime_type","ytd_month_range","two_years_prior_full","previous_year_full","two_years_prior_previous_year_full_pct_change","two_years_prior_ytd","previous_year_ytd","current_year_ytd","two_years_prior_current_year_ytd_pct_change","previous_year_current_year_ytd_pct_change","population","number_of_agencies","last_updated"
"Adams County","Colorado","robbery","Jan - Nov 2025",54,53,-1.85185185185185,45,49,24,-46.6666666666667,-51.0204081632653,100798,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","theft","Jan - Nov 2025",1404,1186,-15.5270655270655,1315,1069,1065,-19.0114068441065,-0.374181478016838,100798,1,"2026-01-19 09:07:50 EST"
"Adams County","Colorado","violent_crime","Jan - Nov 2025",561,441,-21.3903743315508,520,415,217,-58.2692307692308,-47.710843373494,100798,1,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","aggravated_assault","Jan - Nov 2025",69183,66590,-3.74803058554847,63839,61504,59230,-7.21972461974655,-3.69732049947971,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","burglary","Jan - Nov 2025",68986,62313,-9.67297712579364,63194,57340,47740,-24.4548533088584,-16.742239274503,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","motor_vehicle_theft","Jan - Nov 2025",85960,70371,-18.1351791530945,79133,65029,47798,-39.5978921562433,-26.49740884836,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","murder","Jan - Nov 2025",1619,1369,-15.4416306361952,1494,1288,1050,-29.718875502008,-18.4782608695652,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","property_crime","Jan - Nov 2025",523681,482952,-7.77744466574117,480781,443347,383740,-20.1840338948503,-13.4447735069821,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","rape","Jan - Nov 2025",10469,10312,-1.49966567962556,9728,9581,9045,-7.02097039473684,-5.59440559440559,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","robbery","Jan - Nov 2025",16306,14740,-9.60382681221636,14910,13605,11243,-24.5942320590208,-17.3612642410878,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","theft","Jan - Nov 2025",368735,350268,-5.0082037235413,338454,320978,288202,-14.8475125127787,-10.2112917396208,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 100K - 250K","Nationwide","violent_crime","Jan - Nov 2025",97577,93011,-4.67938141160314,89971,85978,80568,-10.4511453690634,-6.29230733443439,25651860,182,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","aggravated_assault","Jan - Nov 2025",125668,126202,0.424929178470255,115793,116920,107030,-7.56781498018015,-8.45877523092713,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","burglary","Jan - Nov 2025",97505,94501,-3.08086764781293,89290,86177,74664,-16.3803337439803,-13.3597131485199,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","motor_vehicle_theft","Jan - Nov 2025",199902,159404,-20.2589268741683,184062,147629,122989,-33.1806673838163,-16.6904876413171,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","murder","Jan - Nov 2025",3068,2624,-14.4719687092568,2843,2425,1949,-31.4456559971861,-19.6288659793814,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","property_crime","Jan - Nov 2025",793413,735899,-7.2489359261822,727024,676831,604511,-16.8513006448205,-10.6850897786892,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","rape","Jan - Nov 2025",10438,10182,-2.45257712205403,9674,9415,8691,-10.1612569774654,-7.6898566117897,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","robbery","Jan - Nov 2025",60862,56748,-6.75955440176136,55547,52456,43268,-22.1056042630565,-17.5156321488486,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","theft","Jan - Nov 2025",496006,481994,-2.82496582702629,453672,443025,406858,-10.3189088151792,-8.16364764968117,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 1M+","Nationwide","violent_crime","Jan - Nov 2025",200036,195756,-2.13961486932352,183857,181216,160938,-12.4656662514889,-11.1899611513332,28649559,13,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","aggravated_assault","Jan - Nov 2025",151508,146128,-3.55096760567099,139595,135533,123802,-11.3134424585408,-8.65545660466455,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","burglary","Jan - Nov 2025",135948,128129,-5.75146379498043,124527,117643,100572,-19.2367920210075,-14.5108506243465,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","motor_vehicle_theft","Jan - Nov 2025",239679,192453,-19.7038539045974,220018,178406,129319,-41.223445354471,-27.5142091633689,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","murder","Jan - Nov 2025",4187,3618,-13.5896823501314,3874,3381,2697,-30.3820340733092,-20.2307009760426,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","property_crime","Jan - Nov 2025",1038465,963764,-7.19340565161079,952415,885278,767243,-19.4423649354536,-13.3330998850079,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","rape","Jan - Nov 2025",15963,15522,-2.76263860176658,14841,14426,13202,-11.0437302068594,-8.48468043809788,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","robbery","Jan - Nov 2025",50240,46014,-8.41162420382166,46068,42497,33565,-27.1403143179647,-21.0179542085324,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","theft","Jan - Nov 2025",662838,643182,-2.96543046717297,607870,589229,537352,-11.6008357050027,-8.80421703616081,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of 250K - 1M","Nationwide","violent_crime","Jan - Nov 2025",221898,211282,-4.78418011879332,204378,195837,173266,-15.2227734883402,-11.5254012265302,32571658,67,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","aggravated_assault","Jan - Nov 2025",40663,38955,-4.20037872267172,37576,36019,33916,-9.74025974025974,-5.83858519114912,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","burglary","Jan - Nov 2025",43621,39745,-8.8856284816946,39973,36141,29780,-25.4997123058064,-17.6005091170693,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","motor_vehicle_theft","Jan - Nov 2025",46799,37454,-19.9683753926366,42971,34731,25996,-39.5033860045147,-25.1504419682704,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","murder","Jan - Nov 2025",690,621,-10,648,570,446,-31.1728395061728,-21.7543859649123,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","property_crime","Jan - Nov 2025",378515,345488,-8.72541378809294,346955,316875,277546,-20.0051879926792,-12.4115187376726,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","rape","Jan - Nov 2025",7619,7457,-2.12626328914556,7103,6898,6567,-7.54610727861467,-4.79849231661351,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","robbery","Jan - Nov 2025",9499,8433,-11.2222339193599,8662,7742,6359,-26.5873932117294,-17.8636011366572,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","theft","Jan - Nov 2025",288095,268289,-6.87481559902116,264011,246003,221770,-15.9997121332066,-9.85069287772913,18097345,262,"2026-01-19 09:07:50 EST"
"Agencies of < 100K","Nationwide","violent_crime","Jan - Nov 2025",58471,55466,-5.1392998238443,53989,51229,47288,-12.4117875863602,-7.69290831365047,18097345,262,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","aggravated_assault","Jan - Oct 2025",253,239,-5.53359683794466,197,222,217,10.1522842639594,-2.25225225225225,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","burglary","Jan - Oct 2025",470,488,3.82978723404255,402,390,303,-24.6268656716418,-22.3076923076923,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","motor_vehicle_theft","Jan - Oct 2025",328,293,-10.6707317073171,275,255,213,-22.5454545454545,-16.4705882352941,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","murder","Jan - Oct 2025",11,8,-27.2727272727273,8,6,6,-25,0,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","property_crime","Jan - Oct 2025",0,0,NA,0,0,0,NA,NA,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","rape","Jan - Oct 2025",42,31,-26.1904761904762,38,27,26,-31.578947368421,-3.7037037037037,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","robbery","Jan - Oct 2025",25,23,-8,17,18,14,-17.6470588235294,-22.2222222222222,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","theft","Jan - Oct 2025",1445,1277,-11.6262975778547,1213,1077,903,-25.5564715581204,-16.1559888579387,110756,1,"2026-01-19 09:07:50 EST"
"Aiken County","South Carolina","violent_crime","Jan - Oct 2025",0,0,NA,0,0,0,NA,NA,110756,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","aggravated_assault","Jan - Nov 2025",1224,1209,-1.22549019607843,1114,1106,1239,11.2208258527828,12.0253164556962,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","burglary","Jan - Nov 2025",934,708,-24.1970021413276,859,656,642,-25.2619324796275,-2.13414634146341,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","motor_vehicle_theft","Jan - Nov 2025",1015,843,-16.9458128078818,938,771,603,-35.7142857142857,-21.7898832684825,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","murder","Jan - Nov 2025",21,24,14.2857142857143,19,20,23,21.0526315789474,15,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","property_crime","Jan - Nov 2025",6608,6404,-3.08716707021792,6051,5886,5493,-9.22161626177491,-6.67686034658512,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","rape","Jan - Nov 2025",194,231,19.0721649484536,188,205,209,11.1702127659574,1.95121951219512,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","robbery","Jan - Nov 2025",189,173,-8.46560846560847,168,156,152,-9.52380952380952,-2.56410256410256,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","theft","Jan - Nov 2025",4659,4853,4.16398368748658,4254,4459,4248,-0.141043723554302,-4.73200269118636,187705,1,"2026-01-19 09:07:50 EST"
"Akron","Ohio","violent_crime","Jan - Nov 2025",1628,1637,0.552825552825553,1489,1487,1623,8.99932840832774,9.14593140551446,187705,1,"2026-01-19 09:07:50 EST"
"Alameda","California","aggravated_assault","Jan - Nov 2025",118,122,3.38983050847458,103,104,153,48.5436893203884,47.1153846153846,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","burglary","Jan - Nov 2025",377,194,-48.5411140583554,350,167,165,-52.8571428571429,-1.19760479041916,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","motor_vehicle_theft","Jan - Nov 2025",1281,955,-25.4488680718189,1143,907,472,-58.7051618547681,-47.9603087100331,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","murder","Jan - Nov 2025",0,6,Inf,0,6,0,NA,-100,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","property_crime","Jan - Nov 2025",4265,3678,-13.7631887456038,3848,3391,2536,-34.0956340956341,-25.2138012385727,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","rape","Jan - Nov 2025",19,19,0,16,15,16,0,6.66666666666667,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","robbery","Jan - Nov 2025",123,93,-24.390243902439,116,89,78,-32.7586206896552,-12.3595505617978,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","theft","Jan - Nov 2025",2607,2529,-2.99194476409666,2355,2317,1899,-19.3630573248408,-18.0405697022011,75061,1,"2026-01-19 09:07:50 EST"
"Alameda","California","violent_crime","Jan - Nov 2025",260,240,-7.69230769230769,235,214,247,5.1063829787234,15.4205607476636,75061,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","aggravated_assault","Jan - Nov 2025",593,541,-8.76897133220911,542,491,419,-22.6937269372694,-14.6639511201629,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","burglary","Jan - Nov 2025",265,258,-2.64150943396226,246,234,170,-30.8943089430894,-27.3504273504274,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","motor_vehicle_theft","Jan - Nov 2025",1070,715,-33.1775700934579,966,652,413,-57.2463768115942,-36.6564417177914,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","murder","Jan - Nov 2025",8,8,0,8,8,3,-62.5,-62.5,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","property_crime","Jan - Nov 2025",2950,2186,-25.8983050847458,2686,2010,1715,-36.150409530901,-14.6766169154229,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","rape","Jan - Nov 2025",36,36,0,30,36,22,-26.6666666666667,-38.8888888888889,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","robbery","Jan - Nov 2025",232,196,-15.5172413793103,216,189,129,-40.2777777777778,-31.7460317460317,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","theft","Jan - Nov 2025",1615,1213,-24.8916408668731,1474,1124,1132,-23.202170963365,0.711743772241993,148466,1,"2026-01-19 09:07:50 EST"
"Alameda County","California","violent_crime","Jan - Nov 2025",869,781,-10.126582278481,796,724,573,-28.0150753768844,-20.8563535911602,148466,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","aggravated_assault","Jan - Nov 2025",569,494,-13.1810193321617,529,454,454,-14.1776937618147,0,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","burglary","Jan - Nov 2025",457,362,-20.7877461706783,413,328,387,-6.2953995157385,17.9878048780488,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","motor_vehicle_theft","Jan - Nov 2025",314,235,-25.1592356687898,299,226,204,-31.7725752508361,-9.73451327433628,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","murder","Jan - Nov 2025",18,17,-5.55555555555556,17,16,18,5.88235294117647,12.5,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","property_crime","Jan - Nov 2025",2992,2581,-13.7366310160428,2740,2382,2370,-13.5036496350365,-0.503778337531486,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","rape","Jan - Nov 2025",24,39,62.5,21,27,82,290.47619047619,203.703703703704,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","robbery","Jan - Nov 2025",100,81,-19,89,77,64,-28.0898876404494,-16.8831168831169,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","theft","Jan - Nov 2025",2221,1984,-10.6708689779379,2028,1828,1779,-12.2781065088757,-2.68052516411379,66281,1,"2026-01-19 09:07:50 EST"
"Albany","Georgia","violent_crime","Jan - Nov 2025",711,631,-11.2517580872011,656,574,618,-5.79268292682927,7.66550522648084,66281,1,"2026-01-19 09:07:50 EST"
"Albany","New York","aggravated_assault","Jan - Nov 2025",697,570,-18.2209469153515,654,531,453,-30.7339449541284,-14.6892655367232,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","burglary","Jan - Nov 2025",443,319,-27.9909706546275,416,308,281,-32.4519230769231,-8.76623376623377,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","motor_vehicle_theft","Jan - Nov 2025",406,294,-27.5862068965517,379,253,195,-48.5488126649077,-22.9249011857708,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","murder","Jan - Nov 2025",15,9,-40,14,9,9,-35.7142857142857,0,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","property_crime","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","rape","Jan - Nov 2025",59,78,32.2033898305085,58,75,46,-20.6896551724138,-38.6666666666667,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","robbery","Jan - Nov 2025",246,183,-25.609756097561,224,172,202,-9.82142857142857,17.4418604651163,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","theft","Jan - Nov 2025",2702,2322,-14.0636565507032,2504,2151,1767,-29.4329073482428,-17.8521617852162,101930,1,"2026-01-19 09:07:50 EST"
"Albany","New York","violent_crime","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,101930,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","aggravated_assault","Jan - Nov 2025",59,70,18.6440677966102,56,67,23,-58.9285714285714,-65.6716417910448,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","burglary","Jan - Nov 2025",141,94,-33.3333333333333,130,82,36,-72.3076923076923,-56.0975609756098,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","motor_vehicle_theft","Jan - Nov 2025",101,46,-54.4554455445545,93,44,18,-80.6451612903226,-59.0909090909091,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","murder","Jan - Nov 2025",4,0,-100,4,0,0,-100,NA,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","property_crime","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","rape","Jan - Nov 2025",13,21,61.5384615384615,10,21,9,-10,-57.1428571428571,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","robbery","Jan - Nov 2025",26,21,-19.2307692307692,25,20,5,-80,-75,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","theft","Jan - Nov 2025",977,924,-5.42476970317298,900,842,293,-67.4444444444444,-65.2019002375297,57002,1,"2026-01-19 09:07:50 EST"
"Albany","Oregon","violent_crime","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,57002,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","aggravated_assault","Jan - Nov 2025",77,74,-3.8961038961039,74,70,46,-37.8378378378378,-34.2857142857143,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","burglary","Jan - Nov 2025",102,73,-28.4313725490196,91,71,54,-40.6593406593407,-23.943661971831,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","motor_vehicle_theft","Jan - Nov 2025",121,118,-2.47933884297521,112,114,64,-42.8571428571429,-43.859649122807,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","murder","Jan - Nov 2025",8,2,-75,7,2,5,-28.5714285714286,150,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","property_crime","Jan - Nov 2025",1848,1540,-16.6666666666667,1693,1409,1249,-26.2256349675133,-11.3555713271824,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","rape","Jan - Nov 2025",45,33,-26.6666666666667,40,30,28,-30,-6.66666666666667,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","robbery","Jan - Nov 2025",17,15,-11.7647058823529,13,14,5,-61.5384615384615,-64.2857142857143,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","theft","Jan - Nov 2025",1625,1349,-16.9846153846154,1490,1224,1131,-24.0939597315436,-7.59803921568627,115659,1,"2026-01-19 09:07:50 EST"
"Albemarle County","Virginia","violent_crime","Jan - Nov 2025",147,124,-15.6462585034014,134,116,84,-37.3134328358209,-27.5862068965517,115659,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","aggravated_assault","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","burglary","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","motor_vehicle_theft","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","murder","Jan - Nov 2025",97,96,-1.03092783505155,91,89,61,-32.967032967033,-31.4606741573034,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","property_crime","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","rape","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","robbery","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","theft","Jan - Nov 2025",0,0,NA,0,0,0,NA,NA,559094,1,"2026-01-19 09:07:50 EST"
"Albuquerque","New Mexico","violent_crime","Jan - Nov 2025",97,96,-1.03092783505155,91,89,61,-32.967032967033,-31.4606741573034,559094,1,"2026-01-19 09:07:50 EST"
"Alexandria","Virginia","aggravated_assault","Jan - Nov 2025",230,208,-9.56521739130435,214,191,116,-45.7943925233645,-39.2670157068063,153897,1,"2026-01-19 09:07:50 EST"
"Alexandria","Virginia","burglary","Jan - Nov 2025",158,148,-6.32911392405063,145,135,73,-49.6551724137931,-45.9259259259259,153897,1,"2026-01-19 09:07:50 EST"
"Alexandria","Virginia","motor_vehicle_theft","Jan - Nov 2025",483,375,-22.360248447205,441,356,162,-63.265306122449,-54.4943820224719,153897,1,"2026-01-19 09:07:50 EST"
"Alexandria","Virginia","murder","Jan - Nov 2025",3,1,-66.6666666666667,3,1,1,-66.6666666666667,0,153897,1,"2026-01-19 09:07:50 EST"
