city_state
"Abilene, TX"
"Moline, IL"
"Mount Prospect, IL"
"Nashville, TN"
"National City, CA"
"New Bedford, MA"
"New Braunfels, TX"
"New Britain, CT"
"New Orleans, LA"
"New York City, NY"
"Newark, OH"
"Newport News, VA"
"Norfolk, VA"
"Normal, IL"
"North Bergen Township, NJ"
"North Las Vegas, NV"
"North Richland Hills, TX"
"Norwalk, CT"
"O'Fallon, MO"
"Oak Lawn, IL"
"Oceanside, CA"
"Odessa, TX"
"Omaha, NE"
"Oshkosh, WI"
"Palatine, IL"
"Parker, CO"
"Pasadena, TX"
"Pawtucket, RI"
"Pearland, TX"
"Pflugerville, TX"
"Pharr, TX"
"Philadelphia, PA"
"Phoenix, AZ"
"Pittsburgh, PA"
"Plano, TX"
"Plymouth, MN"
"Pocatello, ID"
"Port Arthur, TX"
"Portland, OR"
"Portsmouth, VA"
"Prescott Valley, AZ"
"Pueblo, CO"
"Quincy, MA"
"Raleigh, NC"
"Reading, PA"
"Redlands, CA"
"Reno, NV"
"Revere, MA"
"Richardson, TX"
"Richmond, CA"
"Richmond, VA"
"Riverside, CA"
"Roanoke, VA"
"Rochester, MN"
"Rochester, NY"
"Rockford, IL"
"Rockwall, TX"
"Round Rock, TX"
"Rowlett, TX"
"Salt Lake City, UT"
"San Angelo, TX"
"San Antonio, TX"
"San Diego, CA"
"San Francisco, CA"
"San Jose, CA"
"San Marcos, TX"
"Schaumburg, IL"
"Scottsdale, AZ"
"Scranton, PA"
"Seattle, WA"
"Skokie, IL"
"Somerville, MA"
"South Bend, IN"
"Southaven, MS"
"Sparks, NV"
"Springfield, IL"
"Springfield, MA"
"Springfield, MO"
"Springfield, OH"
"Springfield, OR"
"St Charles, MO"
"St Joseph, MO"
"St Louis, MO"
"St Peters, MO"
"St. Cloud, MN"
"St. Paul, MN"
"Stamford, CT"
"State College, PA"
"Stockton, CA"
"Stratford, CT"
"Suffolk, VA"
"Sugar Land, TX"
"Surprise, AZ"
"Tacoma, WA"
"Taunton, MA"
"Tempe, AZ"
"Temple, TX"
"Texas City, TX"
"Thornton, CO"
"Tigard, OR"
"Tinley Park, IL"
"Toledo, OH"
"Tracy, CA"
"Tucson, AZ"
"Twin Falls, ID"
"Tyler, TX"
"Upper Darby, PA"
"Vallejo, CA"
"Victoria, TX"
"Virginia Beach, VA"
"Waco, TX"
"Waltham, MA"
"Warwick, RI"
"Washington, DC"
"Waterbury, CT"
"West Hartford, CT"
"West Haven, CT"
"Westminster, CO"
"Weymouth, MA"
"Wichita Falls, TX"
"Woodbury, MN"
"Wylie, TX"
"York, PA"
"Yuma, AZ"
